"","Player","POS","Team","Age","GP","W","L","Min","PTS"
"1","Rudy Gobert","C","MIN",30,70,34,36,2148.5,939
"2","Dereon Seabron","G","NOP",22,5,2,3,11.6,4
"3","Jeff Dowtin Jr.","PG","TOR",25,25,17,8,258.7,61
"4","Ivica Zubac","C","LAC",26,76,43,33,2169.4,818
"5","Dennis Smith Jr.","PG","CHA",25,54,19,35,1389.8,474
"6","Nerlens Noel","C","BKN",29,17,4,13,194.7,35
"7","Shaquille Harrison","G","LAL",29,5,1,4,119.9,44
"8","Mike Muscala","C","BOS",31,63,32,31,945.1,383
"9","Obi Toppin","PF","NYK",25,67,37,30,1050.5,497
"10","Tyrese Haliburton","PG","IND",23,56,28,28,1882.9,1160
"11","Taurean Prince","PF","MIN",29,54,31,23,1192.5,493
"12","Jonas Valanciunas","C","NOP",30,79,40,39,1968.2,1115
"13","Giannis Antetokounmpo","PF","MIL",28,63,47,16,2023.6,1959
"14","Moritz Wagner","C","ORL",26,57,27,30,1109.5,600
"15","Thanasis Antetokounmpo","SF","MIL",30,37,25,12,206.2,51
"16","Luguentz Dort","G","OKC",24,74,36,38,2272.4,1013
"17","Harrison Barnes","SF","SAC",30,82,48,34,2662,1230
"18","Khris Middleton","SF","MIL",31,33,25,8,800.8,497
"19","Gabe York","G","IND",29,3,1,2,55.8,24
"20","Cameron Payne","PG","PHX",28,48,27,21,968.3,493
"21","Jerami Grant","SF","POR",29,63,28,35,2245.5,1290
"22","Marko Simonovic","C","CHI",23,7,3,4,19.6,6
"23","Jalen McDaniels","PF","PHI",25,80,31,49,1912.9,755
"24","Luke Kennard","SG","MEM",26,59,37,22,1315.1,546
"25","Javonte Green","SF","CHI",29,32,13,19,480.3,165
"26","Theo Maledon","PG","CHA",21,44,14,30,853.7,295
"27","Thanasis Antetokounmpo","SF","MIL",30,37,25,12,206.2,51
"28","Terrence Ross","G","PHX",32,63,27,36,1330.5,522
"29","Josh Christopher","SG","HOU",21,64,16,48,786.2,372
"30","RaiQuan Gray","F","BKN",23,1,0,1,35.1,16
"31","Nerlens Noel","C","BKN",29,17,4,13,194.7,35
"32","Mitchell Robinson","C","NYK",25,59,35,24,1588.8,435
"33","Stanley Umude","G","DET",24,1,0,1,2.1,2
"34","Davon Reed","SG","LAL",27,43,29,14,342.5,89
"35","Terence Davis","SG","SAC",25,64,38,26,841,431
"36","Mac McClung","SG","PHI",24,2,2,0,41.1,25
"37","Ish Wainright","F","PHX",28,60,33,27,915.1,251
"38","Moses Brown","C","BKN",23,36,17,19,294.1,155
"39","Alex Len","C","SAC",29,26,15,11,161.2,43
"40","Royce O'Neale","PF","BKN",29,76,42,34,2409.2,671
"41","Alec Burks","SG","DET",31,51,12,39,1122.4,652
"42","John Konchar","SG","MEM",27,72,45,27,1493.8,364
"43","Jake LaRavia","F","MEM",21,35,22,13,414.3,105
"44","Isaiah Hartenstein","C","NYK",24,82,47,35,1628.2,406
"45","Jamaree Bouyea","G","WAS",23,5,2,3,70.5,15
"46","Bruce Brown","SF","DEN",26,80,53,27,2279.5,923
"47","Yuta Watanabe","SF","BKN",28,58,30,28,927.8,322
"48","Jaden Hardy","G","DAL",20,48,20,28,708.4,420
"49","Jordan Schakel","F","WAS",24,2,0,2,6.2,3
"50","Joshua Primo","SG","SAS",20,4,3,1,93.4,28
"51","Jaden Hardy","G","DAL",20,48,20,28,708.4,420
"52","Andrew Nembhard","PG","IND",23,75,32,43,2073.5,709
"53","Jaden Hardy","G","DAL",20,48,20,28,708.4,420
"54","Damion Lee","SG","PHX",30,74,40,34,1506.3,604
"55","Ben Simmons","PG","BKN",26,42,24,18,1105,291
"56","Gabe Vincent","PG","MIA",26,68,37,31,1758.7,641
"57","Noah Vonleh","PF","BOS",27,23,17,6,171.6,25
"58","Xavier Sneed","F","CHA",25,4,0,4,48.2,17
"59","Jay Scrubb","G","ORL",22,2,1,1,30.1,13
