player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,draftlevel
Sandro Mamukelashvili,MIL,23,205.74,108.86208,Seton Hall,Georgia,2021,2,54,41,3.8,2,0.5,-17.6,0.079,0.116,0.142,0.618,0.084,2021-22,2
Markieff Morris,MIA,32,205.74,111.13004,Kansas,USA,2011,1,13,17,7.6,2.6,1.4,4.5,0.059,0.089,0.197,0.547,0.116,2021-22,1
Aaron Holiday,PHX,25,182.88,83.91452,UCLA,USA,2018,1,23,63,6.3,1.9,2.4,-1.4,0.023,0.092,0.182,0.544,0.223,2021-22,1
Timothe Luwawu-Cabarrot,ATL,27,200.66,97.52228,None,France,2016,1,24,52,4.4,1.6,0.8,-3.5,0.024,0.094,0.135,0.556,0.08,2021-22,1
Monte Morris,DEN,27,187.96,83.007336,Iowa State,USA,2017,2,51,75,12.6,3,4.4,6,0.013,0.087,0.173,0.583,0.201,2021-22,2
Patty Mills,BKN,33,182.88,81.64656,St.Mary's College of California,Australia,2009,2,55,81,11.4,1.9,2.3,1.5,0.008,0.055,0.16,0.563,0.106,2021-22,2
Theo Pinson,DAL,26,195.58,96.161504,North Carolina,USA,Undrafted,Undrafted,Undrafted,19,2.5,1.1,0.9,-12.4,0.012,0.124,0.138,0.553,0.181,2021-22,3
Desmond Bane,MEM,24,195.58,97.52228,TCU,USA,2020,1,30,76,18.2,4.4,2.7,6.9,0.018,0.118,0.226,0.592,0.136,2021-22,1
DeMar DeRozan,CHI,32,198.12,99.79024,Southern California,USA,2009,1,9,76,27.9,5.2,4.9,1.1,0.021,0.122,0.308,0.59,0.228,2021-22,1
Marcus Morris Sr.,LAC,32,203.2,98.883056,Kansas,USA,2011,1,14,54,15.4,4.4,2.1,-4.8,0.016,0.129,0.228,0.549,0.114,2021-22,1
Garrison Mathews,HOU,25,195.58,97.52228,Lipscomb,USA,Undrafted,Undrafted,Undrafted,65,10,2.9,1,-5.9,0.018,0.093,0.137,0.602,0.052,2021-22,3
Tyus Jones,MEM,26,182.88,88.904032,Duke,USA,2015,1,24,73,8.7,2.4,4.4,7.6,0.01,0.097,0.164,0.544,0.285,2021-22,1
Craig Sword,WAS,28,190.5,88.904032,Mississippi State,USA,Undrafted,Undrafted,Undrafted,3,2,0,0.3,8.3,0,0,0.125,0.75,0.1,2021-22,3
Sandro Mamukelashvili,MIL,23,205.74,108.86208,Seton Hall,Georgia,2021,2,54,41,3.8,2,0.5,-17.6,0.079,0.116,0.142,0.618,0.084,2021-22,2
Cole Anthony,ORL,22,190.5,83.91452,North Carolina,USA,2020,1,15,65,16.3,5.4,5.7,-5.4,0.015,0.145,0.245,0.519,0.281,2021-22,1
George Hill,MIL,36,193.04,85.275296,Indiana-Purdue Indianapolis,USA,2008,1,26,54,6.2,2.9,2.2,11.7,0.029,0.084,0.115,0.552,0.124,2021-22,1
Robert Woodard II,SAS,22,198.12,106.59412,Mississippi State,USA,2020,2,40,12,0.6,0.9,0.3,16.7,0.086,0.146,0.158,0.207,0.086,2021-22,2
Markus Howard,DEN,23,177.8,79.3786,Marquette,USA,Undrafted,Undrafted,Undrafted,31,4.1,0.4,0.2,-4.9,0.01,0.064,0.264,0.567,0.068,2021-22,3
Domantas Sabonis,SAC,26,210.82,108.86208,Gonzaga,Lithuania,2016,1,11,62,18.9,12.1,5.2,-0.6,0.092,0.264,0.221,0.637,0.239,2021-22,1
Louis King,SAC,23,200.66,92.98636,Oregon,USA,Undrafted,Undrafted,Undrafted,10,4.5,1.2,0.9,-11.9,0,0.115,0.195,0.438,0.125,2021-22,3
Luke Kornet,BOS,26,218.44,113.398,Vanderbilt,USA,Undrafted,Undrafted,Undrafted,15,2,1.9,0.6,10.4,0.118,0.142,0.112,0.506,0.108,2021-22,3
Brandon Clarke,MEM,25,203.2,97.52228,Gonzaga,Canada,2019,1,21,64,10.4,5.3,1.3,7.5,0.099,0.148,0.171,0.66,0.101,2021-22,1
Danilo Gallinari,ATL,33,208.28,107.047712,None,Italy,2008,1,6,66,11.7,4.7,1.5,3.4,0.021,0.161,0.182,0.579,0.086,2021-22,1
Pat Connaughton,MIL,29,195.58,94.800728,Notre Dame,USA,2015,2,41,65,9.9,4.2,1.3,-0.7,0.025,0.13,0.137,0.62,0.067,2021-22,2
Matt Mooney,NYK,27,187.96,90.264808,Texas Tech,USA,Undrafted,Undrafted,Undrafted,1,0,0,0,-100,0,0,0.4,0,0,2021-22,3
Kelan Martin,BOS,26,195.58,104.32616,Butler,USA,Undrafted,Undrafted,Undrafted,30,5.7,1.8,0.7,-6.2,0.035,0.086,0.18,0.484,0.072,2021-22,3
Vernon Carey Jr.,WAS,21,205.74,122.46984,Duke,USA,2020,2,32,7,2.9,1.7,0,-47.6,0.145,0.093,0.179,0.534,0,2021-22,2
Nerlens Noel,NYK,28,210.82,99.79024,Kentucky,USA,2013,1,6,25,3.4,5.6,0.9,-5.7,0.084,0.161,0.072,0.581,0.06,2021-22,1
Emanuel Terry,PHX,25,205.74,99.79024,Lincoln Memorial,USA,Undrafted,Undrafted,Undrafted,3,0,5,0.7,-50.3,0.286,0.389,0.189,0,0.222,2021-22,3
