state.code,age,income,education,employed,raw.income,degree,fouryrdegree
6,33,250000,16,1,250000,4-year degree,1
6,28,32086,13,NA,32086,no 4-year degree,0
6,29,32086,12,1,32086,no 4-year degree,0
6,34,16871,13,NA,16871,no 4-year degree,0
6,35,12002,12,NA,12002,no 4-year degree,0
6,34,94075,12,1,94075,no 4-year degree,0
6,34,8400,18,NA,8400,4-year degree,1
6,25,60014,12,1,60014,no 4-year degree,0
6,26,60014,11,1,60014,no 4-year degree,0
6,33,300640,16,1,300640,4-year degree,1
6,30,300640,16,1,300640,4-year degree,1
6,32,84100,12,NA,84100,no 4-year degree,0
6,26,18163,16,1,18163,4-year degree,1
6,34,113790,13,1,113790,no 4-year degree,0
6,28,70000,12,1,70000,no 4-year degree,0
6,30,70000,12,1,70000,no 4-year degree,0
6,25,77086,16,1,77086,4-year degree,1
6,27,77086,14,1,77086,no 4-year degree,0
6,33,109000,14,1,109000,no 4-year degree,0
6,29,109000,12,1,109000,no 4-year degree,0
6,29,99540,14,1,99540,no 4-year degree,0
6,31,99540,16,1,99540,4-year degree,1
6,35,92006,13,1,92006,no 4-year degree,0
6,35,92006,12,1,92006,no 4-year degree,0
6,35,277620,16,1,277620,4-year degree,1
6,26,195000,12,1,195000,no 4-year degree,0
6,25,195000,14,NA,195000,no 4-year degree,0
6,33,195000,12,1,195000,no 4-year degree,0
6,33,195000,12,NA,195000,no 4-year degree,0
6,34,188680,13,1,188680,no 4-year degree,0
6,32,35000,12,1,35000,no 4-year degree,0
6,31,35000,12,NA,35000,no 4-year degree,0
6,33,77000,14,1,77000,no 4-year degree,0
6,34,40812,12,NA,40812,no 4-year degree,0
6,27,55115,13,1,55115,no 4-year degree,0
6,25,55115,12,NA,55115,no 4-year degree,0
6,29,60535,13,NA,60535,no 4-year degree,0
6,27,14199,12,1,14199,no 4-year degree,0
6,33,14199,16,1,14199,4-year degree,1
6,26,810096,20,NA,810096,4-year degree,1
6,35,90100,13,1,90100,no 4-year degree,0
6,30,40000,13,NA,40000,no 4-year degree,0
6,31,40000,13,1,40000,no 4-year degree,0
6,32,37000,9,NA,37000,no 4-year degree,0
6,33,48000,16,1,48000,4-year degree,1
6,29,140000,12,1,140000,no 4-year degree,0
6,27,21600,11,NA,21600,no 4-year degree,0
6,31,21600,9,NA,21600,no 4-year degree,0
6,33,91425,18,1,91425,4-year degree,1
6,32,91425,16,1,91425,4-year degree,1
6,35,68212,12,1,68212,no 4-year degree,0
6,35,4205,12,NA,4205,no 4-year degree,0
6,26,56500,12,1,56500,no 4-year degree,0
6,30,90000,16,1,90000,4-year degree,1
6,26,90000,14,1,90000,no 4-year degree,0
6,28,33000,12,1,33000,no 4-year degree,0
6,35,183030,12,1,183030,no 4-year degree,0
6,31,45067,13,1,45067,no 4-year degree,0
6,26,14400,12,NA,14400,no 4-year degree,0
6,29,14400,12,NA,14400,no 4-year degree,0
6,30,0,12,NA,0,no 4-year degree,0
6,33,163808,13,NA,163808,no 4-year degree,0
6,27,45600,12,1,45600,no 4-year degree,0
6,26,0,13,0,0,no 4-year degree,0
6,30,11136,12,NA,11136,no 4-year degree,0
6,25,0,9,1,0,no 4-year degree,0
6,28,24207,18,1,24207,4-year degree,1
6,27,37802,16,1,37802,4-year degree,1
6,33,37802,12,1,37802,no 4-year degree,0
6,29,25000,12,1,25000,no 4-year degree,0
6,30,47845,16,1,47845,4-year degree,1
6,34,47845,12,1,47845,no 4-year degree,0
6,30,38928,18,1,38928,4-year degree,1
6,25,38928,16,1,38928,4-year degree,1
6,25,47700,13,0,47700,no 4-year degree,0
6,27,32931,16,1,32931,4-year degree,1
6,31,32931,16,1,32931,4-year degree,1
6,29,50000,16,1,50000,4-year degree,1
6,35,50000,16,1,50000,4-year degree,1
6,31,26880,12,NA,26880,no 4-year degree,0
6,28,26880,12,1,26880,no 4-year degree,0
6,33,54377,18,1,54377,4-year degree,1
6,33,54377,16,1,54377,4-year degree,1
6,26,42003,16,1,42003,4-year degree,1
6,25,42003,16,1,42003,4-year degree,1
6,34,101726,16,1,101726,4-year degree,1
6,25,11400,16,NA,11400,4-year degree,1
6,32,21601,14,NA,21601,no 4-year degree,0
6,31,21601,14,NA,21601,no 4-year degree,0
6,27,30376,12,1,30376,no 4-year degree,0
6,33,30376,14,1,30376,no 4-year degree,0
6,29,117055,16,1,117055,4-year degree,1
