Obs,Name,Gender,Fixed,Color,Heritage,Age,Weight,Size
1,Max,Male,Yes,Dark brown,"Designer/deliberate mix (e.g., labradoodles)",7,70,Large
2,Isla,Female,Yes,Black,Single breed,8,13,Small
3,Tyson,Male,No,Black,Mixed breed/unknown,0.33,24,Large
4,Lexi,Female,Yes,Light brown,"Designer/deliberate mix (e.g., labradoodles)",6,24,Small
5,,Male,Yes,Light brown,Mixed breed/unknown,6,45,Large
6,Lola,Female,Yes,Black,Mixed breed/unknown,14,85,Large
7,Lady,Female,Yes,Black,Single breed,11,22,Small
8,Leo,Male,Yes,Reddish,Single breed,15,14,Small
9,Jitterbug,Female,Yes,Light brown,Mixed breed/unknown,18,25,Medium
10,Coco,Female,Yes,Light brown,"Designer/deliberate mix (e.g., labradoodles)",3,44,Medium
11,Jake,Male,No,White,Single breed,8,45,Medium
12,Jessie,Female,Yes,Dark brown,Single breed,15,50,Medium
13,Rikka,Female,No,Light brown,Single breed,14,30,Humongous
14,Yo-yo,Female,Yes,Light brown,Mixed breed/unknown,7,75,Medium
15,Winston,Male,Yes,Black,Single breed,2,4.5,Toy
16,Petey,Male,Yes,Yellow/blond,Mixed breed/unknown,15,27,Medium
17,Doctor,Male,Yes,Light brown,Single breed,1.13,47,Large
18,Brownie,Female,Yes,Black,Mixed breed/unknown,1.5,45,Medium
19,Cinnamon ,Female,Yes,Reddish,Single breed,12.5,25,Small
20,Sparky,Male,Yes,Black,Single breed,12.5,19,Small
21,Dexter,Male,Yes,Light brown,Single breed,12,25,Medium
22,Yitzi,Female,Yes,Reddish,Single breed,0.58,13,Small
23,Maisie,Female,Yes,Reddish,Mixed breed/unknown,5,55,Medium
24,Mya,Female,Yes,Other,Single breed,15,22,Small
25,Nala,Female,Yes,No primary color,Single breed,2.5,55,Medium
26,Oso,Male,Yes,Black,Mixed breed/unknown,12.5,65,Large
27,Cesar,Male,Yes,Black,Mixed breed/unknown,4,11,Small
28,Chunka,Female,Yes,Black,Single breed,7,33,Medium
29,Cody,Male,No,Reddish,Mixed breed/unknown,3,55,Large
30,Cody Enzo,Male,Yes,Dark brown,"Designer/deliberate mix (e.g., labradoodles)",4,55,Large
31,Pepper,Female,Yes,Black,Single breed,2.25,26,Small
32,Chipper,Male,Yes,Black,Single breed,11,26,Medium
33,Sammy,Female,Yes,Black,Single breed,10,30,Medium
34,Trixie,Female,Yes,Black,Single breed,12,33,Medium
35,Bo,Male,Yes,White,Mixed breed/unknown,11,19,Small
36,von Weiner's Petite Red Velvet,Female,Yes,Reddish,Single breed,17,15,Small
37,Oscar Meyer von Frankfurter,Male,Yes,Reddish,Single breed,6,15,Small
38,Babs,Female,Yes,White,Mixed breed/unknown,5,62,Medium
39,Tala,Female,Yes,Black,Mixed breed/unknown,8,65,Medium
40,Sadie ,Female,Yes,Black,Mixed breed/unknown,8,70,Medium
41,Zoi,Female,Yes,Light brown,Mixed breed/unknown,11,20,Medium
