"","Player","POS","Team","Age","GP","W","L","Min","PTS"
"89","Dillon Brooks","SF","MEM",27,73,46,27,2214.3,1047
"201","Torrey Craig","SF","PHX",32,79,44,35,1947.8,588
"26","CJ McCollum","SG","NOP",31,75,38,37,2649.2,1568
"150","Rui Hachimura","PF","LAL",25,63,38,25,1466,707
"245","James Wiseman","C","DET",22,45,11,34,867.2,450
"76","Kevin Huerter","SG","SAC",24,75,44,31,2202.8,1140
"8","Donovan Mitchell","SG","CLE",26,68,44,24,2432.4,1922
"295","Moses Moody","SG","GSW",20,63,37,26,817.1,302
"299","Theo Maledon","PG","CHA",21,44,14,30,853.7,295
"4","Shai Gilgeous-Alexander","PG","OKC",24,68,33,35,2416,2135
"87","Saddiq Bey","SF","ATL",24,77,24,53,2128.7,1062
"44","Tyler Herro","PG","MIA",23,67,37,30,2335.4,1347
"71","Tyrese Haliburton","PG","IND",23,56,28,28,1882.9,1160
"66","Jaden Ivey","PG","DET",21,74,16,58,2304.3,1204
"156","Talen Horton-Tucker","SG","UTA",22,65,30,35,1313.2,698
"227","Dwight Powell","C","DAL",31,76,37,39,1457.9,506
"209","Brandon Clarke","PF","MEM",26,56,32,24,1090.1,559
"243","Isaiah Jackson","SF","IND",21,63,24,39,1042.3,455
"184","Grant Williams","PF","BOS",24,79,55,24,2044.8,641
"81","Myles Turner","C","IND",27,62,29,33,1825.2,1113
"3","Luka Doncic","PG","DAL",24,66,33,33,2390.5,2138
"48","Terry Rozier","SG","CHA",29,63,19,44,2220.9,1329
"68","Scottie Barnes","SF","TOR",21,77,38,39,2677.6,1179
"235","Aaron Wiggins","SG","OKC",24,70,37,33,1297.4,479
"218","Josh Okogie","SF","PHX",24,72,38,34,1350.6,529
"117","LaMelo Ball","PG","CHA",21,36,13,23,1267.8,838
"11","Damian Lillard","PG","POR",32,58,27,31,2106.6,1866
"136","Tari Eason","F","HOU",21,82,22,60,1767.2,760
"220","Hamidou Diallo","SG","DET",24,56,12,44,995.9,522
"12","De'Aaron Fox","PG","SAC",25,73,44,29,2435.2,1826
"28","Dejounte Murray","SG","ATL",26,74,38,36,2693.4,1515
"288","Yuta Watanabe","SF","BKN",28,58,30,28,927.8,322
"269","Edmond Sumner","PG","BKN",27,53,33,20,736.2,378
"211","Jose Alvarado","PG","NOP",25,61,30,31,1310,550
"38","Paolo Banchero","PF","ORL",20,72,31,41,2429.7,1437
"233","Taurean Prince","PF","MIN",29,54,31,23,1192.5,493
"13","DeMar DeRozan","SF","CHI",33,74,37,37,2681.6,1816
"72","Russell Westbrook","PG","LAC",34,73,36,37,2125.8,1159
"112","Tre Jones","PG","SAS",23,68,20,48,1983.7,875
"63","Tyrese Maxey","PG","PHI",22,60,39,21,2015.8,1218
"95","Tim Hardaway Jr.","SF","DAL",31,71,37,34,2152.2,1019
"284","Landry Shamet","SG","PHX",26,40,19,21,806.9,346
"5","Giannis Antetokounmpo","PF","MIL",28,63,47,16,2023.6,1959
"84","Alperen Sengun","C","HOU",20,75,18,57,2170.7,1109
"118","Markelle Fultz","PG","ORL",24,60,29,31,1777.9,837
"180","Keita Bates-Diop","SF","SAS",27,67,18,49,1452.6,647
"231","Kendrick Nunn","G","WAS",27,70,30,40,963.4,496
"249","Mitchell Robinson","C","NYK",25,59,35,24,1588.8,435
"211.1","Jose Alvarado","PG","NOP",25,61,30,31,1310,550
"159","Jusuf Nurkic","C","POR",28,52,24,28,1391.4,694
"270","Alex Caruso","SG","CHI",29,67,33,34,1575.4,374
"90","Malik Monk","SG","SAC",25,77,47,30,1719.2,1041
"134","De'Anthony Melton","SG","PHI",24,77,50,27,2149.8,780
"70","Bradley Beal","SG","WAS",29,50,24,26,1672.9,1160
"124","Corey Kispert","SF","WAS",24,74,31,43,2093.3,820
"186","Georges Niang","SF","PHI",29,78,51,27,1511.8,637
"263","Jalen Johnson","SF","ATL",21,70,35,35,1041.6,395
"97","Luguentz Dort","G","OKC",24,74,36,38,2272.4,1013
"169","Cedi Osman","SF","CLE",28,77,48,29,1548.3,669
"184.1","Grant Williams","PF","BOS",24,79,55,24,2044.8,641
"92","De'Andre Hunter","SF","ATL",25,67,35,32,2125.6,1029
"223","Tre Mann","PG","OKC",22,67,31,36,1183.4,517
