"","age","state.code","county.code","income","sex","education","race","degree","employed","person","county","subregion","lat","long","group"
"1",35,6,59,55000,"female",13,"White only","no 4-year degree",1,1017,"orange","orange",33.6310183766576,-117.735844771905,1
"2",27,6,37,25000,"female",13,"White only","no 4-year degree",1,679,"los angeles","los angeles",34.0630931737682,-118.33389817868,1
"3",34,6,77,43750,"female",16,"White only","4-year degree",1,2177,"san joaquin","san joaquin",37.9105021282371,-121.466301423446,1
"4",34,6,59,22000,"female",14,"White only","no 4-year degree",NA,930,"orange","orange",33.7078374676722,-117.819525534729,1
"5",31,6,73,0,"female",16,"White only","4-year degree",NA,1533,"san diego","san diego",33.1755183429511,-116.782894855318,1
"6",27,6,37,105000,"female",16,"White-Asian","4-year degree",1,471,"los angeles","los angeles",34.0536636850955,-118.540564216928,1
"7",25,6,37,700,"female",16,"White only","4-year degree",1,270,"los angeles","los angeles",33.9826710484124,-117.832135012878,1
"8",30,6,0,21000,"male",14,"White only","no 4-year degree",1,1211,"unknown","sonoma",38.6350879831548,-123.24376866315,1
"9",33,6,37,0,"female",11,"White only","no 4-year degree",NA,597,"los angeles","los angeles",34.0333032486113,-118.695539461595,1
"10",34,6,0,32000,"male",9,"White only","no 4-year degree",1,1301,"unknown","orange",33.7512402592872,-117.645761567395,1
"11",32,6,0,32000,"male",14,"Black only","no 4-year degree",1,1974,"unknown","orange",33.6657798822041,-117.470333880309,1
"12",25,6,37,0,"male",16,"Asian only","4-year degree",1,330,"los angeles","los angeles",34.143140314119,-118.422285730454,1
"13",27,6,1,23000,"female",14,"Asian only","no 4-year degree",1,1799,"alameda","alameda",37.7909333674584,-122.270095001268,1
"14",28,6,73,4603,"female",12,"White only","no 4-year degree",NA,1615,"san diego","san diego",33.0821228839361,-117.163357702698,1
"15",34,6,1,80000,"male",20,"Asian only","4-year degree",1,1749,"alameda","alameda",37.6828014449608,-122.007200798649,1
