County,FIPS code,County seat,Est.,Origin,Etymology,Density,Population,Area,Map
Appling County,001,Baxley,1818,Land ceded by the Creek Indians in the Treaty of Fort Jackson in 1814 and the Treaty of the Creek Agency in 1818,"Colonel Daniel Appling (1787–1818), a hero of the War of 1812",36.26,"18,457","509 sq mi
(1,318 km2)",
Atkinson County,003,Pearson,1917,Clinch and Coffee counties,"William Yates Atkinson (1854–99), governor of Georgia (1894–98) and speaker of the Georgia House of Representatives",24.54,"8,293","338 sq mi
(875 km2)",
Bacon County,005,Alma,1914,"Appling, Pierce and Ware counties","Augustus Octavius Bacon (1839–1914), U.S. Senator (1895–1914); President pro tempore of the United States Senate",39.03,"11,124","285 sq mi
(738 km2)",
Baker County,007,Newton,1825,Early County,"Colonel John Baker (died 1792), a hero of the American Revolutionary War",8.00,"2,743","343 sq mi
(888 km2)",
Baldwin County,009,Milledgeville,1803,Creek cessions of 1802 and 1805,"Abraham Baldwin (1754–1807), a Founding Father; U.S. Senator (1799–1807); one of the Georgia delegates who signed the U.S. Constitution",168.20,"43,396","258 sq mi
(668 km2)",
Banks County,011,Homer,1859,Franklin and Habersham counties,"Dr. Richard Banks (1784–1850), local physician noted for treating natives with smallpox",84.57,"19,789","234 sq mi
(606 km2)",
Barrow County,013,Winder,1914,"Gwinnett, Jackson and Walton counties","""Uncle Dave"" David Crenshaw Barrow Jr. (1852–1929), chancellor of the University of Georgia (1906–29)",572.79,"92,792","162 sq mi
(420 km2)",
Bartow County,015,Cartersville,1832,Created from a portion of Cherokee County and originally called Cass County after General Lewis Cass,"General Francis S. Bartow (1816–61), Confederate political leader; first Confederate general killed in the American Civil War",250.09,"115,041","460 sq mi
(1,191 km2)",
Ben Hill County,017,Fitzgerald,1906,Irwin and Wilcox counties,"Benjamin Harvey Hill (1823–82), U.S. Senator (1877–82)",67.97,"17,128","252 sq mi
(653 km2)",
Berrien County,019,Nashville,1856,"Coffee, Irwin, and Lowndes counties","John Macpherson Berrien (1781–1856), U.S. Senator; U.S. Attorney General",41.08,"18,570","452 sq mi
(1,171 km2)",
Bibb County,021,Macon,1822,"Houston, Jones, Monroe, and Twiggs counties","Dr. William Wyatt Bibb (1780–1820), first Governor of Alabama; U.S. Senator",626.05,"156,512","250 sq mi
(647 km2)",
Bleckley County,023,Cochran,1912,Pulaski County,"Logan Edwin Bleckley (1827–1907), Georgia State Supreme Court Chief Justice",57.44,"12,465","217 sq mi
(562 km2)",
Brantley County,025,Nahunta,1920,"Charlton, Pierce, and Wayne counties","Benjamin Daniel Brantley (1832-91), a state legislator, local merchant and confederate soldier or William Gordon Brantley (1860–1934), U.S. Congressman",41.44,"18,401","444 sq mi
(1,150 km2)",
Brooks County,027,Quitman,1858,Lowndes and Thomas counties,"Captain Preston S. Brooks (1819–57), a hero of the Mexican–American War; Congressman from South Carolina",32.88,"16,245","494 sq mi
(1,279 km2)",
Bryan County,029,Pembroke,1793,Chatham County,"Jonathan Bryan (1708–88), colonial settler; famous state representative",112.53,"49,739","442 sq mi
(1,145 km2)",
Bulloch County,031,Statesboro,1796,Bryan and Screven counties,"Archibald Bulloch (1729–77), a hero of the Revolutionary War; Speaker of the Georgia House of Representatives; acting governor of Georgia (1775–77) and first governor of Georgia",123.47,"84,327","683 sq mi
(1,769 km2)",
Burke County,033,Waynesboro,1777,Originally organized as St. George Parish,"Edmund Burke (1729–97), British-American political philosopher and Member of Parliament (MP) who sympathized with the cause of American independence",29.41,"24,438","831 sq mi
(2,152 km2)",
