"","X","age","state.code","county.code","income","sex","education","race","degree","employed","person","county","subregion","lat","long","group"
"1",2062,30,6,37,44301.5663813459,"male",16,"White only","4-year degree",0,402,"los angeles","los angeles",34.0851624861816,-118.1737480564,1
"2",2230,32,6,0,27755.8591794223,"male",12,"White only","no 4-year degree",1,1236,"unknown","los angeles",33.983692609794,-117.899433773803,1
"3",632,30,6,37,48959.1116099618,"female",16,"Asian only","4-year degree",1,744,"los angeles","los angeles",33.8505151616574,-118.138594413673,1
"4",2270,31,6,59,85676.5646999702,"male",16,"White only","4-year degree",1,933,"orange","orange",33.7476402404551,-117.646963523105,1
"5",2109,27,6,0,37198.4397321939,"female",12,"White only","no 4-year degree",1,1329,"unknown","santa barbara",37.7215422267142,-122.060340771693,1
"6",1289,33,6,59,31219.4358143024,"female",13,"Asian only","no 4-year degree",1,1020,"orange","orange",33.6781031246135,-117.61503250599,1
"7",1807,31,6,1,0,"female",16,"Asian only","4-year degree",NA,1800,"alameda","alameda",37.6548411894102,-121.868752320196,1
"8",601,30,6,0,0,"female",16,"Asian only","4-year degree",0,1188,"unknown","los angeles",33.7086401938353,-117.758591777731,1
"9",305,25,6,37,0,"female",12,"White only","no 4-year degree",NA,229,"los angeles","los angeles",34.2111644123394,-118.246957640839,1
"10",996,33,6,0,52119.4082410783,"male",11,"White only","no 4-year degree",1,1309,"unknown","orange",34.0577365359902,-118.314069107571,1
"11",1461,29,6,77,0,"male",12,"White only","no 4-year degree",0,2193,"san joaquin","san joaquin",37.9328416057527,-121.308300233178,1
"12",1027,30,6,0,32486.6081045009,"male",14,"White-Black","no 4-year degree",1,1264,"unknown","los angeles",34.2802219824253,-118.118152066492,1
"13",1562,27,6,75,22607.1924123913,"female",18,"Asian only","4-year degree",1,1908,"san francisco","san francisco",37.7363666459654,-122.392340457285,1
"14",1746,30,6,73,0,"female",16,"White only","4-year degree",0,1605,"san diego","san diego",32.7696276141271,-117.16598899128,1
"15",72,35,6,0,36553.978510946,"female",12,"White only","no 4-year degree",1,1314,"unknown","los angeles",36.8478604949515,-120.026675831492,1
"16",46,33,6,1,89064.1204396263,"female",20,"Asian only","4-year degree",1,1791,"alameda","alameda",37.5960952139582,-122.010001929705,1
"17",2271,32,6,99,149586.493070237,"female",16,"White only","4-year degree",1,1033,"stanislaus","stanislaus",37.4661691638045,-121.146489840478,1
"18",1786,29,6,0,26272.5508702919,"female",16,"White only","4-year degree",1,1202,"unknown","los angeles",34.2786031932637,-118.505350737487,1
"19",1549,31,6,67,0,"female",13,"White only","no 4-year degree",NA,1429,"sacramento","sacramento",38.3468432394128,-121.517621779707,1
"20",22,31,6,59,29081.5963740461,"female",11,"White only","no 4-year degree",1,975,"orange","orange",33.7501749327147,-117.733761915389,1
"21",676,28,6,37,28578.447653912,"male",16,"White only","4-year degree",1,521,"los angeles","los angeles",34.2640549099561,-118.583402779321,1
"22",2166,32,6,37,107337.180250324,"male",16,"Asian only","4-year degree",1,732,"los angeles","los angeles",33.9859952058421,-118.199003019096,1
"23",223,30,6,59,27939.6082470715,"male",12,"White only","no 4-year degree",1,966,"orange","orange",33.6983293013898,-117.656837379653,1
"24",1936,30,6,53,96759.0912714601,"female",16,"White only","4-year degree",1,1492,"monterey","monterey",36.4094657515919,-121.496758240142,1
"25",2074,33,6,37,79310.3884519078,"male",12,"American Indian, Alaskan Native only (AI)","no 4-year degree",1,211,"los angeles","los angeles",34.0317939545796,-118.403900228107,1
"26",2167,35,6,0,173199.067026377,"female",20,"White only","4-year degree",1,2054,"unknown","san mateo",34.068455876072,-118.438440664042,1
"27",2256,35,6,77,0,"male",12,"Asian only","no 4-year degree",1,2209,"san joaquin","san joaquin",37.9269446035356,-121.365186996298,1
"28",637,31,6,0,145677.045698278,"male",18,"Asian only","4-year degree",1,2083,"unknown","kings",33.8676872679588,-118.344226942421,1
"29",1801,34,6,1,0,"female",12,"White only","no 4-year degree",NA,1763,"alameda","alameda",37.762309836173,-122.208391354587,1
"30",2165,27,6,37,0,"female",18,"Black only","4-year degree",NA,511,"los angeles","los angeles",34.1924989269344,-118.3765817838,1
"31",590,25,6,0,21885.7787895948,"male",16,"White only","4-year degree",1,2216,"unknown","san mateo",34.0990376009107,-118.235667557003,1
"32",1868,30,6,0,4300.08939527906,"female",13,"White only","no 4-year degree",1,1170,"unknown","orange",34.0675483422585,-118.313269603737,1
"33",507,30,6,99,79565.3265349567,"female",16,"White only","4-year degree",1,1035,"stanislaus","stanislaus",37.3267305543542,-121.20623022506,1
"34",1179,32,6,37,60000,"female",16,"White only","4-year degree",1,578,"los angeles","los angeles",34.0631442490903,-118.469693045491,1
"35",1827,27,6,0,69399.3845982477,"female",13,"Asian only","no 4-year degree",1,1828,"unknown","san diego",38.0671066937888,-121.214892592493,1
"36",2165,27,6,37,0,"female",18,"Black only","4-year degree",NA,511,"los angeles","los angeles",34.0507739537279,-118.259518143518,1
"37",75,29,6,59,15289.5590543747,"female",12,"White only","no 4-year degree",1,955,"orange","orange",33.7266328321361,-117.81482930893,1
"38",1124,26,6,0,50786.431862507,"male",16,"White only","4-year degree",1,1300,"unknown","los angeles",34.1021748320436,-118.282090809212,1
"39",736,26,6,59,25275.1364083961,"male",14,"Asian only","no 4-year degree",1,1019,"orange","orange",33.7066309945599,-117.792603114469,1
"40",693,25,6,37,23000,"female",16,"White only","4-year degree",0,322,"los angeles","los angeles",34.1001001454946,-118.168677568499,1
"41",2119,28,6,73,0,"female",16,"White-AI","4-year degree",NA,1627,"san diego","san diego",32.8156230340714,-117.118556362738,1
"42",1848,34,6,37,86440.1570744812,"female",18,"White only","4-year degree",1,195,"los angeles","los angeles",34.3423037103224,-117.82993506157,1
"43",1239,33,6,37,0,"female",14,"Black only","no 4-year degree",NA,690,"los angeles","los angeles",34.0979098904116,-118.329209405454,1
"44",701,34,6,0,65000,"male",20,"Asian only","4-year degree",1,2094,"unknown","alameda",37.7098181899191,-121.818731297508,1
"45",1645,34,6,79,96369.418068789,"male",16,"White only","4-year degree",1,2104,"san luis obispo","san luis obispo",35.2161472287936,-120.421100929575,1
"46",217,34,6,0,0,"female",18,"Asian only","4-year degree",NA,2033,"unknown","butte",35.3599070906219,-119.531809787445,1
"47",1140,29,6,111,27507.2871870361,"male",16,"Asian only","4-year degree",1,1088,"ventura","ventura",34.3099928050147,-119.112029638436,1
"48",234,26,6,77,29495.9113991354,"male",14,"White only","no 4-year degree",1,2170,"san joaquin","san joaquin",37.9296379311076,-121.308650183287,1
"49",675,26,6,111,120857.507247478,"male",18,"White only","4-year degree",1,1054,"ventura","ventura",34.3033211579383,-118.953384330836,1
"50",570,30,6,0,27384.0917902999,"male",16,"Asian only","4-year degree",1,1986,"unknown","orange",33.3872546787339,-116.155657042998,1
"51",1748,32,6,73,62785.8100826852,"female",18,"Asian only","4-year degree",1,1502,"san diego","san diego",32.9123796572771,-117.134144543187,1
"52",134,30,6,37,0,"male",10,"White only","no 4-year degree",NA,664,"los angeles","los angeles",34.2649898407877,-117.982030527841,1
"53",639,29,6,73,30155.6193171069,"female",16,"Asian only","4-year degree",1,1662,"san diego","san diego",33.0304215068019,-117.158575732091,1
"54",1720,33,6,0,65000,"male",18,"White only","4-year degree",1,1358,"unknown","san mateo",37.5558345417878,-122.286458953888,1
"55",692,32,6,67,78000.9901064262,"female",16,"White only","4-year degree",1,1409,"sacramento","sacramento",38.2670060975359,-121.611465189993,1
"56",2230,32,6,0,30000,"male",12,"White only","no 4-year degree",1,1236,"unknown","los angeles",34.1004840000877,-118.368186984739,1
"57",1040,25,6,29,32742.6307029091,"female",12,"White only","no 4-year degree",1,9,"kern","kern",35.2299502527241,-119.407705010863,1
"58",2229,35,6,73,75030,"male",16,"White only","4-year degree",1,1612,"san diego","san diego",32.9877270567565,-117.222880646371,1
"59",1010,30,6,1,19819.8625594378,"male",16,"White only","4-year degree",1,1690,"alameda","alameda",37.6958392258699,-122.04982928507,1
"60",859,26,6,73,37579.3332699686,"male",12,"White only","no 4-year degree",1,1579,"san diego","san diego",32.8423652272274,-117.201870262866,1
"61",1896,29,6,29,0,"female",13,"White only","no 4-year degree",NA,38,"kern","kern",34.8579936815211,-117.809400810931,1
"62",1800,26,6,0,46779.3568293564,"male",16,"Asian only","4-year degree",1,2070,"unknown","san diego",34.0341370166189,-118.310576564005,1
"63",78,33,6,37,35617.2532751225,"female",13,"White only","no 4-year degree",1,501,"los angeles","los angeles",34.0534422096373,-118.3669025927,1
"64",625,32,6,37,29000,"female",13,"White only","no 4-year degree",1,306,"los angeles","los angeles",33.9656836649414,-118.335211106157,1
"65",1525,35,6,67,127911.853592377,"female",16,"White only","4-year degree",1,1399,"sacramento","sacramento",38.2984270473547,-121.509550880898,1
"66",1930,25,6,37,28898.2881231979,"female",16,"White only","4-year degree",1,559,"los angeles","los angeles",34.0635558567,-118.645031994225,1
"67",2201,34,6,59,27439.0035390388,"female",12,"White only","no 4-year degree",1,986,"orange","orange",33.6162342377884,-117.631546738676,1
"68",842,30,6,73,28800,"male",12,"White only","no 4-year degree",NA,1556,"san diego","san diego",33.0007910621469,-117.188157449293,1
"69",2136,35,6,0,59002.6066152379,"male",12,"Black only","no 4-year degree",1,1286,"unknown","los angeles",33.954665328433,-118.233114082378,1
"70",161,35,6,1,154608.504846692,"male",20,"Asian only","4-year degree",1,1790,"alameda","alameda",37.652476305477,-121.985384050576,1
"71",467,27,6,59,0,"male",16,"Asian only","4-year degree",NA,1018,"orange","orange",33.6284965312402,-117.722303095918,1
"72",279,33,6,81,130208.342797589,"female",16,"White only","4-year degree",1,1949,"san mateo","san mateo",37.3806049592144,-122.216427687601,1
"73",2222,29,6,95,38227.6948194206,"male",13,"White only","no 4-year degree",1,2239,"solano","solano",38.4006213439549,-122.077912333558,1
"74",181,25,6,0,57028.702173382,"female",13,"White-Asian","no 4-year degree",1,2012,"unknown","los angeles",33.9994738198418,-118.118979093882,1
"75",128,28,6,73,19216.8696200475,"male",12,"American Indian, Alaskan Native only (AI)","no 4-year degree",1,1611,"san diego","san diego",32.9413323841351,-116.851397593292,1
"76",959,33,6,37,0,"male",14,"White only","no 4-year degree",0,706,"los angeles","los angeles",33.8220355946745,-118.363489842742,1
"77",1849,29,6,0,120503.522414248,"female",18,"Asian only","4-year degree",1,1963,"unknown","solano",33.6880870376542,-117.819179503433,1
"78",188,27,6,0,36538.6656934861,"female",13,"Asian only","no 4-year degree",1,2092,"unknown","los angeles",34.1637446983446,-118.319598504167,1
"79",982,28,6,31,70603.8683713414,"male",13,"White only","no 4-year degree",1,175,"kings","kings",36.172301448014,-119.775175438258,1
"80",348,33,6,1,144725.356092677,"female",16,"Asian only","4-year degree",1,1774,"alameda","alameda",37.6454668553145,-121.91389828694,1
"81",860,28,6,0,72000,"female",16,"White only","4-year degree",1,2065,"unknown","los angeles",34.1603500897637,-118.726694147714,1
"82",100,30,6,0,0,"female",14,"White only","no 4-year degree",NA,1266,"unknown","los angeles",37.7600276684682,-122.462733438273,1
"83",1875,33,6,19,15059.3612803831,"female",13,"White only","no 4-year degree",NA,156,"fresno","fresno",36.3427528343456,-119.974247751112,1
"84",1351,32,6,59,39321.8372110277,"male",12,"White only","no 4-year degree",1,885,"orange","orange",33.7279503238207,-117.981514883416,1
"85",1399,27,6,59,65878.4533631988,"female",16,"White only","4-year degree",1,958,"orange","orange",33.7147868142773,-117.818152761748,1
"86",32,25,6,0,28725.4263684154,"male",12,"White only","no 4-year degree",1,1222,"unknown","orange",34.0257201570256,-118.362056727323,1
"87",970,35,6,113,75000,"male",16,"White only","4-year degree",1,1467,"yolo","yolo",38.6122456345799,-121.796401367535,1
"88",19,33,6,59,98727.7065310627,"male",16,"Asian only","4-year degree",1,878,"orange","orange",33.7016186742807,-117.782170300997,1
"89",903,35,6,19,49024.8186690733,"male",9,"White only","no 4-year degree",1,113,"fresno","fresno",36.7534308535535,-119.523008017279,1
"90",1208,34,6,0,75000,"female",16,"Asian only","4-year degree",1,2032,"unknown","los angeles",33.9487677386716,-118.224599605031,1
"91",1894,29,6,73,54865.3908338777,"male",16,"White only","4-year degree",1,1565,"san diego","san diego",32.799755107332,-117.054702654553,1
"92",559,26,6,75,68273.3231775463,"female",18,"White-Asian","4-year degree",1,1892,"san francisco","san francisco",37.710341418515,-122.404158694562,1
"93",1089,26,6,0,19173.1898132712,"female",16,"Asian only","4-year degree",1,1988,"unknown","fresno",33.9662520536462,-118.420348418834,1
"94",98,32,6,37,75810.7918628957,"female",12,"White only","no 4-year degree",1,361,"los angeles","los angeles",33.924063568423,-118.276601557043,1
"95",1939,33,6,0,0,"male",11,"White-AI","no 4-year degree",NA,2011,"unknown","los angeles",35.5098728336328,-118.782680235593,1
"96",1095,33,6,59,0,"female",14,"White only","no 4-year degree",1,1015,"orange","orange",33.6826240759222,-117.684019530525,1
"97",1215,34,6,89,48965.5667752959,"female",18,"White only","4-year degree",1,1123,"shasta","shasta",40.7629152481764,-122.462559723408,1
"98",1816,26,6,37,43460.6200285256,"female",13,"White only","no 4-year degree",1,507,"los angeles","los angeles",34.2359859645423,-118.327311104724,1
"99",2133,28,6,37,4000,"female",16,"White only","4-year degree",1,639,"los angeles","los angeles",33.9731658738783,-118.175697556187,1
"100",966,32,6,0,157342.464693356,"male",16,"Asian only","4-year degree",1,1989,"unknown","ventura",35.377328262551,-118.929934529387,1
"101",1748,32,6,73,65000,"female",18,"Asian only","4-year degree",1,1502,"san diego","san diego",33.07214960389,-117.198370625891,1
"102",314,29,6,75,85000,"male",18,"Asian only","4-year degree",1,1907,"san francisco","san francisco",37.7376700206232,-122.397344478754,1
