"","Justice","SCscore","CLlib","CLnum","FAmlib","FAmnum","Fedlib","Fednum","Judlib","Judnum","party"
"1","Black",0.875,74.2,925,87,192,64.9,111,53,362,1
"2","Reed",0.725,33.3,108,20,15,52.6,19,55.6,45,1
"3","Frankfurter",0.665,50.4,369,49.4,79,60.4,53,30.9,152,1
"4","Douglas",0.73,91.5,1265,96.8,249,69,129,68.7,451,1
"5","Jackson",1,48.1,27,50,4,75,4,12.5,8,1
"6","Burton",0.28,39.2,212,32.4,37,45.2,31,42,88,1
"7","Clark",0.5,44.4,649,34.6,136,54.5,88,47.1,274,1
"8","Minton",0.72,36.8,95,14.3,14,58.8,17,45.9,37,1
"9","Warren",0.75,78.5,771,79.9,159,69.1,94,54.8,323,0
"10","Harlan",0.875,43.7,870,44.1,186,52.9,102,37.3,343,0
"11","Whittaker",0.5,43.3,240,37,54,66.7,33,43.2,95,0
"12","Brennan",1,79.5,2417,83.3,408,64.7,238,50.1,733,0
"13","Stewart",0.75,51.3,1551,63.9,274,57.8,128,38.8,487,0
"14","White",0.5,42.4,2253,38.3,355,65.6,212,40.9,650,1
"15","Goldberg",0.75,88.9,153,89.3,28,55,20,55.1,69,1
"16","Fortas",1,81,205,77.3,44,64.7,17,50.6,79,1
"17","Marshall",1,81.4,1889,82.9,287,66.7,156,49.7,487,1
"18","Burger",0.115,29.6,1430,31.9,213,63.1,111,26.3,354,0
"19","Blackmun",0.115,51.5,1791,55.8,269,64.8,159,39.1,453,0
"20","Powell",0.165,37.4,1284,47.8,182,61,105,32,309,0
"21","Rehnquist",0.045,20.4,1665,18.7,241,38.7,155,28.5,428,0
"22","Stevens",0.25,61.4,1319,64.6,181,53,134,47.1,323,0
"23","O'Connor",0.415,33.4,886,40.3,129,46.5,99,43.9,228,0
"24","Scalia",0,29.7,438,32.8,67,58.2,55,32.2,118,0
"25","Kennedy",0.365,34.7,303,45.8,48,54.3,35,45.9,85,0
"26","Souter",0.33,41.7,108,71.4,14,57.1,7,55.9,34,0
"27","Thomas",0.16,25.6,43,16.7,6,80,5,50,16,0
