2017 Event ,2017 Event Venue,Zip,Zone,Date,Start time,End time,Audience,Price Structure,Marked as sold out?,Estimated Attendance,Adv Tickets sold,Actual Attendance
ASF2017 Launch with Captain Mark Kelly,Glenn  Memorial Church,30307,NE ITP,Tue. 03.14,5:30 PM,9:00 PM,"Adults, Families (kids & adults together), Teens (13-18 yrs), Children (5-12 yrs)",$12 ($8 for kids 12 and under),,800,926,1023
Solve for X Variety Show,Highland Inn Ballroom,30306,NE ITP,Fri. 03. 17,8:30 PM,10:00 PM,Adults,$10 ($5 for students),,80,Partner handled sales,103
Zoo Atlanta Educator Appreciation Day,Zoo Atlanta,30315,SW ITP,Sat. 03. 18,9:30 AM,4:30 PM,Educators,Free for Educators,,400,--,950
Robot Racing & PancakeBots,21st Cent STEM Academy,30033,NE ITP,Sat. 03. 18,10:00 AM,12:00 PM,Children (5-12 yrs),Free with adv registration,SOLD OUT,25,25,25
What's All the Buzz About Nanotechnology?,Georgia Tech,30313,NW ITP,Sat. 03. 18,10:00 AM,12:30 PM,"Adults, Families (kids & adults together), Teens (13-18 yrs), Children (5-12 yrs)",Free,,100,--,98
The Science of Pickling Produce: A Canning Workshop,Whole Kids Educational Farm and Teaching Kitchen,30076,NW OTP,Sat. 03. 18,10:00 AM,1:00 PM,"Adults, Teens (13-18)",$12,,20,Partner handled sales,8
Drone Day,Salvation Army Peachcrest Boys and Girls Club,30032,NE ITP,Sat. 03. 18,10:00 AM,1:00 PM,"Families (kids & adults together), Teens (13-18 yrs)",Free,,300,--,150
Wiggly Worms: Kings of Compost,Reynolds Nature Preserve,30260,SE OTP,Sat. 03. 18,11:00 AM,1:00 PM,"Adults, Families (kids & adults together), Teens (13-18 yrs)",$35,,20,0,0
Creating a New Normal: Working Toward An AIDS Free Generation,J.D. Sims Recreation Center,30308,NE ITP,Sat. 03. 18,1:00 PM,5:00 PM,"Adults, Teens (13-18)",Free with adv registration,,40,Partner handled sales,
Rap Guide to Climate Chaos,Drew Charter School,30317,NE ITP,Sat. 03. 18,1:30 PM,3:00 PM,"Adults, Families (kids & adults together), Teens (13-18 yrs)",$5 (Drew Charter School and Westminster School students free),,150,18,80
Science of Cannabis,Manuel's Tavern,30307,NE ITP,Sat. 03. 18,7:30 PM,9:00 PM,Adults,Free,,50,--,129
STEAM Teacher Appreciation Day at the High,High Museum of  Art,30309,NE ITP,Sun. 03. 19,12:00 PM,5:00 PM,Educators,Free for Educators,,150,--,1000
DINOSAUR!,Alliance Theater,30309,NE ITP,Sun. 03. 19,12:15 PM,12:50 PM,Preschool (0-4),"$5/adult, kids under 5 free",,50,Partner handled sales,55
Robot Soccer,21st Cent STEM Academy,30033,NE ITP,Sun. 03. 19,2:00 PM,4:00 PM,Children (5-12 yrs),Free with adv registration,SOLD OUT,30,30,28
Zombie Outbreak Game,Emory University,30322,NE ITP,Sun. 03. 19,2:00 PM,4:00 PM,"Adults, Teens (13-18)",$10,,150,197,160
Disease Detectives: Science and Society,Atlanta History Center,30305,NW ITP,Sun. 03. 19,2:00 PM,4:00 PM,"Families (kids & adults together), Teens (13-18 yrs), Children (5-12 yrs)",Free with adv registration,,40,Partner handled sales,15
Science Rock and Comedy,Historic Academy of Medicine,30324,NE ITP,Sun. 03. 19,7:00 PM,9:30 PM,Adults,Free,,60,--,80
