2017 Event ,2017 Event Venue,Zip,Zone,Date,Start time,End time,Audience,Price Structure,Marked as sold out?,Estimated Attendance,Adv Tickets sold,Actual Attendance
SSEF STEAM Showcase,North Springs Charter High School,30328,NW OTP,Wed. 03. 15,5:30 PM,8:00 PM,"Families (kids & adults together), Teens (13-18 yrs), Children (5-12 yrs)",Free,,400,--,900
Wildly Spectacular Sports Science,Little Shop of Stories,30030,NE ITP,Wed. 03. 15,6:00 PM,7:00 PM,"Children (5-12 yrs), Families (kids & adults together)",Free,,60,--,35
Trivia Night with HowStuffWorks,Ponce City Market,30308,NE ITP,Wed. 03. 15,7:00 PM,10:00 PM,Adults,$20,SOLD OUT,350,Partner handled sales,360
STEAM Leadership Institute,Clough Undergraduate Learning Commons at Georgia Tech,30332,NW ITP,Thu. 03. 16,8:30 AM,4:30 PM,Educators,$125 ($100/person if group of 3+),,200,Partner handled sales,188
Roadside Geology,First Presbyterian Church of Atlanta Parking Lot,30309,NE ITP,Thu. 03. 16,1:00 PM,3:00 PM,"Adults, Teens (13-18 yrs)",Free with adv registration,SOLD OUT,50,50,22
STEM Gems: Giving Girls Role Models in STEM Careers,Goizueta Business School at Emory University,30322,NE ITP,Thu. 03. 16,4:30 PM,6:00 PM,"Teens (13-18 yrs), Children (5-12 yrs), Families (kids & adults together)",Free with adv registration,SOLD OUT,100,100,60
Science Happy Hour,Sweetwater Brewing Co,30324,NE ITP,Thu. 03. 16,5:30 PM,7:30 PM,Adults,$20,,300,Partner handled sales,139
Wacky Science Night,Gwinnett County Government Annex,30046,NE OTP,Thu. 03. 16,6:30 PM,8:00 PM,"Families (kids & adults together), Children (5-12 yrs), Teens (13-18 yrs)",Free with adv registration,,100,Partner handled sales,100
Science & Spirituality,First Christian Church of Decatur GA,30030,NE ITP,Thu. 03. 16,7:00 PM,9:00 PM,Adults,Free,,100,--,93
Story Collider,Highland Inn Ballroom,30306,NE ITP,Thu. 03. 16,7:30 PM,9:00 PM,"Adults, Teens (13-18 yrs)",$10,SOLD OUT,125,125,120
"Blood, Bullets & Bones",Little Shop of Stories,30030,NE ITP,Fri. 03. 17,7:00 PM,8:00 PM,"Adults, Teens (13-18 yrs)",Free,,60,--,86
Fernbank Forest Bird Walk,Fernbank Museum of Natural History,30307,NE ITP,Sat. 03. 18,9:00 AM,11:30 AM,"Adults, Families (kids & adults together), Teens (13-18 yrs), Children (5-12 yrs)",Free with admission & adv registration,,20,Partner handled sales,15
5th Annual Latino College and STEM Fair,Georgia Tech Student Center,30332,NW ITP,Sat. 03. 18,9:00 AM,2:30 PM,Families (kids & adults together),Free,,1000,--,608
STEAM Teacher Seminar,High Museum of Art,30309,NE ITP,Sat. 03. 18,9:00 AM,3:00 PM,Educators,$35,,50,Partner handled sales,58
Eureka Labs,Georgia State University Petit Science Center,30303,NW ITP,Sat. 03. 18,9:30 AM,2:30 PM,"Families (kids & adults together), Adults, Teens (13-18 yrs), Children (5-12 yrs)",Free,,450,--,800
Discovery Day at Georgia State University,Georgia State University Petit Science Center,30303,NW ITP,Sat. 03. 18,9:30 AM,2:30 PM,"Families (kids & adults together), Adults, Teens (13-18 yrs), Children (5-12 yrs)",Free,,450,--,800
The Fusion Gallery at Georgia State University,Georgia State University Petit Science Center,30303,NW ITP,Sat. 03. 18,9:30 AM,2:30 PM,"Families (kids & adults together), Adults, Teens (13-18 yrs), Children (5-12 yrs)",Free,,450,--,800
Fashionable Circuits,Midtown International School,30324,NE ITP,Sat. 03. 18,10:00 AM,11:00 AM,"Families (kids & adults together), Children (5-12 yrs)",Free with adv registration,SOLD OUT,15,15,10
Invention Protection,Meunier Carlin & Curfman LLC,30309,NE ITP,Sat. 03. 18,10:00 AM,12:00 PM,"Children (5-12 yrs), Families (kids & adults together)",Free with adv registration,,40,Partner handled sales,60
Our Urban Ecology,Clyde Shepherd Nature Preserve,30033,NE ITP,Sat. 03. 18,10:00 AM,12:00 PM,"Families (kids & adults together), Teens (13-18 yrs), Children (5-12 yrs), Adults",Free,,30,--,8
Young Forensics,Georgia Gwinnett College School of Science & Technology,30043,NE OTP,Sat. 03. 18,10:00 AM,12:00 PM,Children (5-12 yrs),Free with adv registration,SOLD OUT,80,80,28
Crime Scene Investigation Squad,Georgia Gwinnett College School of Science & Technology,30043,NE OTP,Sat. 03. 18,10:00 AM,12:00 PM,Teens (13-18 yrs),Free with adv registration,SOLD OUT,80,80,22
Nerdy Derby,M. R. Hollis Innovation Academy,30314,NW ITP,Sat. 03. 18,10:00 AM,3:00 PM,"Families (kids & adults together), Children (5-12 yrs)",Free,,100,--,95
Eco Expedition,Stone Mountain Park Confederate Hall Historical & Environmental Education Center,30083,NE OTP,Sat. 03. 18,10:00 AM,3:00 PM,"Families (kids & adults together), Teens (13-18 yrs), Adults, Children (5-12 yrs)",Free with $15 park admission,,100,--,75
Rock n' Walk,Stone Mountain Park Confederate Hall Historical & Environmental Education Center,30083,NE OTP,Sat. 03. 18,10:00 AM,3:00 PM,"Adults, Families (kids & adults together), Teens (13-18 yrs), Children (5-12 yrs)",Free with $15 park admission,,100,--,75
Underground Animals: Improv-ing Evolution,Core Dance Studio,30030,NE ITP,Sat. 03. 18,10:30 AM,12:00 PM,"Adults, Teens (13-18 yrs)",Free with adv registration,,35,Partner handled sales,20
Fashionable Circuits,Midtown International School,30324,NE ITP,Sat. 03. 18,11:00 AM,12:00 PM,"Families (kids & adults together), Children (5-12 yrs)",Free with adv registration,SOLD OUT,15,15,16
DESIGNORAMA,Drew Charter School (Senior Academy),30317,NE ITP,Sat. 03. 18,3:00 PM,6:00 PM,"Families (kids & adults together), Teens (13-18 yrs), Children (5-12 yrs), Preschool (0-4 yrs)",Free,,1000,--,900
Flesh-eating Beetles and Other Creepy Tools of the Scientific Illustrator,Kavarna,30030,NE ITP,Sat. 03. 18,4:00 PM,6:00 PM,"Adults, Teens (13-18 yrs), Families (kids & adults together)",Free,,40,--,59
Superhero Science Night,Children's Museum of Atlanta,30313,NW ITP,Sat. 03. 18,6:30 PM,8:30 PM,"Families (kids & adults together), Preschool (0-4 yrs), Children (5-12 yrs)","$8 for members, $18 for non-members",SOLD OUT,400,Partner handled sales,261
Seeing Farther Than Ever Before: The James Webb Space Telescope,Emory University,30322,NE ITP,Sat. 03. 18,7:00 PM,9:00 PM,"Teens (13-18 yrs), Families (kids & adults together), Adults",Free,,50,--,180
Mathematics in Motion,Neighborhood Ballet,30316,SE ITP,Sat. 03. 18,5:00 PM,6:00 PM,"Adults, Teens (13-18 yrs), Families (kids & adults together)",$7 suggested donation,,40,Partner handled sales,40
Mathematics in Motion,Neighborhood Ballet,30316,SE ITP,Sat. 03. 18,8:00 PM,9:00 PM,"Adults, Teens (13-18 yrs), Families (kids & adults together)",$7 suggested donation,,60,Partner handled sales,42
"Starry, Starry Night",Hard Labor Creek State Park,30663,NE OTP,Sat. 03. 18,8:30 PM,10:30 PM,"Adults, Families (kids & adults together), Teens (13-18 yrs), Children (5-12 yrs)",Free,,100,--,85
Fernbank Forest Wildflower Tour,Fernbank Museum of Natural History,30307,NE ITP,Sun. 03. 19,12:00 PM,2:00 PM,"Families (kids & adults together), Children (5-12 yrs), Teens (13-18 yrs), Adults",Free with admission & adv registration,,20,Partner handled sales,35
