Justice		SCscore	CLlib	CLnum	FAmlib	FAmnum	Fedlib	Fednum	Judlib	Judnum
Black		0.875	74.2	925	87.0	192	64.9	111	53.0	362
Reed		0.725	33.3	108	20.0	15	52.6	19	55.6	45
Frankfurter	0.665	50.4	369	49.4	79	60.4	53	30.9	152
Douglas		0.730	91.5	1265	96.8	249	69.0	129	68.7	451
Jackson		1.000	48.1	27	50.0	4	75.0	4	12.5	8
Burton		0.280	39.2	212	32.4	37	45.2	31	42.0	88
Clark		0.500	44.4	649	34.6	136	54.5	88	47.1	274
Minton		0.720	36.8	95	14.3	14	58.8	17	45.9	37
Warren		0.750	78.5	771	79.9	159	69.1	94	54.8	323
Harlan		0.875	43.7	870	44.1	186	52.9	102	37.3	343
Whittaker	0.500	43.3	240	37.0	54	66.7	33	43.2	95
Brennan		1.000	79.5	2417	83.3	408	64.7	238	50.1	733
Stewart		0.750	51.3	1551	63.9	274	57.8	128	38.8	487
White		0.500	42.4	2253	38.3	355	65.6	212	40.9	650
Goldberg	0.750	88.9	153	89.3	28	55.0	20	55.1	69
Fortas		1.000	81.0	205	77.3	44	64.7	17	50.6	79
Marshall	1.000	81.4	1889	82.9	287	66.7	156	49.7	487
Burger		0.115	29.6	1430	31.9	213	63.1	111	26.3	354
Blackmun	0.115	51.5	1791	55.8	269	64.8	159	39.1	453
Powell		0.165	37.4	1284	47.8	182	61.0	105	32.0	309
Rehnquist	0.045	20.4	1665	18.7	241	38.7	155	28.5	428
Stevens		0.250	61.4	1319	64.6	181	53.0	134	47.1	323
O'Connor	0.415	33.4	886	40.3	129	46.5	99	43.9	228
Scalia		0.000	29.7	438	32.8	67	58.2	55	32.2	118
Kennedy		0.365	34.7	303	45.8	48	54.3	35	45.9	85
Souter		0.330	41.7	108	71.4	14	57.1	7	55.9	34
Thomas		0.160	25.6	43	16.7	6	80.0	5	50.0	16
Ginsburg	0.680	NA	NA	NA	NA	NA	NA	NA	NA
Breyer		0.475	NA	NA	NA	NA	NA	NA	NA	NA

##``SCscore'' is overall Segal/Cover score.
##Issue areas: Civil Liberties, First Amendment, Federalism, Judicial Power.
##``lib'' variables are the percentage of cases in that area in which justice voted with liberal side.
##``num'' variables are the total number of cases in that area in which justice participated since 1953.
