"","state.code","age","income","residents","education.code","education","metro.size","degree"
"133440",6,35,12002,1,39,12,5e+05,"no 4-year degree"
"133468",6,34,8400,1,44,18,5e+05,"4-year degree"
"133767",6,35,4205,1,39,12,1e+05,"no 4-year degree"
"133775",6,28,33000,1,39,12,1e+05,"no 4-year degree"
"133859",6,30,11136,1,39,12,0,"no 4-year degree"
"133890",6,28,24207,1,44,18,0,"4-year degree"
"133960",6,34,101726,1,43,16,0,"4-year degree"
"133979",6,25,11400,1,43,16,0,"4-year degree"
"134118",6,30,134261,1,44,18,5e+05,"4-year degree"
"134135",6,28,55500,1,41,14,5e+05,"no 4-year degree"
"134558",6,26,0,1,43,16,5e+06,"4-year degree"
"134578",6,31,40000,1,40,13,5e+06,"no 4-year degree"
"134586",6,27,41587,1,44,18,5e+06,"4-year degree"
"134595",6,35,58800,1,39,12,5e+06,"no 4-year degree"
"134624",6,26,0,1,41,14,5e+06,"no 4-year degree"
"134634",6,31,100000,1,43,16,5e+06,"4-year degree"
"134727",6,30,0,1,39,12,5e+06,"no 4-year degree"
"134728",6,32,41200,1,39,12,5e+06,"no 4-year degree"
"134739",6,32,0,1,42,14,5e+06,"no 4-year degree"
"134810",6,35,40000,1,39,12,5e+06,"no 4-year degree"
"134913",6,28,85650,1,43,16,5e+06,"4-year degree"
"134961",6,31,130036,1,43,16,5e+06,"4-year degree"
"134975",6,34,130000,1,43,16,5e+06,"4-year degree"
"135094",6,33,82394,1,43,16,5e+06,"4-year degree"
"135107",6,28,0,1,39,12,5e+06,"no 4-year degree"
"135122",6,27,72100,1,40,13,5e+06,"no 4-year degree"
"135139",6,30,130036,1,43,16,5e+06,"4-year degree"
"135183",6,31,3005,1,39,12,5e+06,"no 4-year degree"
"135184",6,26,57000,1,40,13,5e+06,"no 4-year degree"
"135383",6,26,12102,1,43,16,5e+06,"4-year degree"
"135404",6,35,10000,1,42,14,5e+06,"no 4-year degree"
"135409",6,30,65922,1,45,20,5e+06,"4-year degree"
"135419",6,29,103801,1,44,18,5e+06,"4-year degree"
"135549",6,29,122140,1,43,16,5e+06,"4-year degree"
"135579",6,31,40121,1,40,13,5e+06,"no 4-year degree"
"135694",6,29,53511,1,44,18,5e+06,"4-year degree"
"135909",6,35,60300,1,43,16,5e+06,"4-year degree"
"135966",6,34,120000,1,43,16,5e+06,"4-year degree"
"136031",6,27,34415,1,43,16,5e+06,"4-year degree"
"136069",6,30,161875,1,43,16,5e+06,"4-year degree"
"136100",6,31,21000,1,39,12,5e+06,"no 4-year degree"
"136127",6,29,80000,1,43,16,5e+06,"4-year degree"
"136128",6,27,105001,1,43,16,5e+06,"4-year degree"
"136152",6,28,0,1,40,13,5e+06,"no 4-year degree"
"136212",6,27,50202,1,39,12,5e+06,"no 4-year degree"
"136274",6,31,100000,1,43,16,5e+06,"4-year degree"
"136275",6,29,60000,1,43,16,5e+06,"4-year degree"
"136280",6,30,106107,1,46,20,5e+06,"4-year degree"
"136413",6,31,65000,1,44,18,5e+06,"4-year degree"
"136433",6,25,57200,1,40,13,5e+06,"no 4-year degree"
"136502",6,29,36001,1,40,13,5e+06,"no 4-year degree"
"136524",6,28,50000,1,39,12,5e+06,"no 4-year degree"
"136613",6,32,50001,1,43,16,5e+06,"4-year degree"
"136662",6,30,56700,1,43,16,5e+06,"4-year degree"
"136663",6,25,30400,1,40,13,5e+06,"no 4-year degree"
"136665",6,34,80785,1,43,16,5e+06,"4-year degree"
"136900",6,33,40010,1,42,14,5e+06,"no 4-year degree"
"137108",6,26,280100,1,43,16,5e+06,"4-year degree"
"137198",6,30,45061,1,42,14,5e+06,"no 4-year degree"
"137201",6,25,75105,1,43,16,5e+06,"4-year degree"
"137515",6,27,10000,1,37,11,5e+06,"no 4-year degree"
"137634",6,30,2100,1,39,12,5e+06,"no 4-year degree"
"137890",6,30,52400,1,39,12,5e+06,"no 4-year degree"
"137899",6,32,40007,1,43,16,5e+06,"4-year degree"
"137982",6,28,76243,1,40,13,5e+06,"no 4-year degree"
"138063",6,29,38002,1,40,13,5e+06,"no 4-year degree"
"138067",6,35,83128,1,39,12,5e+06,"no 4-year degree"
"138155",6,28,100035,1,43,16,5e+06,"4-year degree"
"138230",6,28,11161,1,43,16,5e+06,"4-year degree"
"138348",6,32,30830,1,44,18,5e+06,"4-year degree"
"138540",6,27,89070,1,44,18,5e+06,"4-year degree"
"138645",6,26,57045,1,43,16,5e+06,"4-year degree"
"138734",6,27,13010,1,43,16,5e+06,"4-year degree"
"138832",6,27,106536,1,43,16,5e+06,"4-year degree"
"138940",6,32,77000,1,40,13,5e+06,"no 4-year degree"
"139102",6,35,122998,1,44,18,5e+06,"4-year degree"
"139198",6,33,0,1,39,12,5e+06,"no 4-year degree"
"139782",6,28,121000,1,44,18,5e+06,"4-year degree"
"139805",6,33,30020,1,40,13,5e+06,"no 4-year degree"
"139837",6,28,35000,1,40,13,5e+06,"no 4-year degree"
"139844",6,32,35000,1,39,12,5e+05,"no 4-year degree"
"140100",6,26,90400,1,43,16,5e+05,"4-year degree"
"140233",6,32,50010,1,43,16,5e+05,"4-year degree"
"140244",6,34,185512,1,43,16,5e+05,"4-year degree"
"140264",6,32,23007,1,38,11,5e+05,"no 4-year degree"
"140320",6,27,20002,1,39,12,5e+05,"no 4-year degree"
"140390",6,33,0,1,40,13,0,"no 4-year degree"
"141463",6,27,52500,1,39,12,2500000,"no 4-year degree"
"141472",6,34,90000,1,39,12,2500000,"no 4-year degree"
"141486",6,31,40000,1,39,12,2500000,"no 4-year degree"
"141596",6,31,30020,1,40,13,2500000,"no 4-year degree"
"141607",6,32,55000,1,39,12,2500000,"no 4-year degree"
"141608",6,25,28820,1,42,14,2500000,"no 4-year degree"
"141654",6,33,32000,1,39,12,2500000,"no 4-year degree"
"141666",6,28,31300,1,40,13,2500000,"no 4-year degree"
"141736",6,35,62110,1,39,12,2500000,"no 4-year degree"
"142007",6,33,26000,1,39,12,2500000,"no 4-year degree"
"142051",6,27,35000,1,39,12,2500000,"no 4-year degree"
"142263",6,28,12720,1,39,12,2500000,"no 4-year degree"
"142405",6,34,100200,1,40,13,1e+06,"no 4-year degree"
"142481",6,29,40010,1,43,16,1e+06,"4-year degree"
"142529",6,32,114766,1,44,18,1e+06,"4-year degree"
"142543",6,27,108371,1,45,20,1e+06,"4-year degree"
"142716",6,34,25001,1,39,12,1e+06,"no 4-year degree"
"142736",6,32,60705,1,43,16,1e+06,"4-year degree"
"142742",6,31,14984,1,40,13,1e+06,"no 4-year degree"
"142825",6,30,23802,1,39,12,1e+06,"no 4-year degree"
"142959",6,35,1100029,1,44,18,1e+06,"4-year degree"
"143107",6,30,62024,1,43,16,1e+06,"4-year degree"
"143231",6,31,7001,1,43,16,250000,"4-year degree"
"143396",6,25,160201,1,44,18,2500000,"4-year degree"
"143507",6,28,0,1,39,12,2500000,"no 4-year degree"
"143555",6,35,82832,1,40,13,2500000,"no 4-year degree"
"143593",6,30,53066,1,46,20,2500000,"4-year degree"
"143594",6,28,129699,1,43,16,2500000,"4-year degree"
"143689",6,35,86200,1,42,14,2500000,"no 4-year degree"
"143778",6,30,150065,1,43,16,2500000,"4-year degree"
"143890",6,33,12,1,39,12,2500000,"no 4-year degree"
"143958",6,30,10001,1,43,16,2500000,"4-year degree"
"144370",6,25,19505,1,40,13,2500000,"no 4-year degree"
"144416",6,25,60923,1,46,20,2500000,"4-year degree"
"144478",6,29,98021,1,43,16,2500000,"4-year degree"
"144479",6,34,120003,1,44,18,2500000,"4-year degree"
"144481",6,26,40026,1,43,16,2500000,"4-year degree"
"144765",6,28,51400,1,39,12,2500000,"no 4-year degree"
"144898",6,26,21000,1,43,16,2500000,"4-year degree"
"144933",6,30,90210,1,39,12,2500000,"no 4-year degree"
"144946",6,26,237507,1,44,18,2500000,"4-year degree"
"144962",6,26,29981,1,43,16,2500000,"4-year degree"
"144993",6,33,20002,1,39,12,2500000,"no 4-year degree"
"145073",6,32,100000,1,44,18,2500000,"4-year degree"
"145294",6,31,180296,1,43,16,2500000,"4-year degree"
"145390",6,30,122151,1,39,12,2500000,"no 4-year degree"
"145424",6,34,161501,1,42,14,2500000,"no 4-year degree"
"145518",6,32,140011,1,41,14,2500000,"no 4-year degree"
"145611",6,28,99410,1,43,16,2500000,"4-year degree"
"145650",6,26,102512,1,43,16,2500000,"4-year degree"
"145702",6,34,403906,1,43,16,2500000,"4-year degree"
"145723",6,30,75033,1,44,18,2500000,"4-year degree"
"145774",6,30,91105,1,39,12,2500000,"no 4-year degree"
