"","state.code","age","income","residents","education.code","education","metro.size","degree"
"1",23,42,44220,1,41,14,0,"no 4-year degree"
"2",23,62,82752,2,39,12,0,"no 4-year degree"
"3",23,64,82752,2,43,16,0,"4-year degree"
"4",23,26,60001,2,40,13,0,"no 4-year degree"
"5",23,24,60001,2,40,13,0,"no 4-year degree"
"6",23,36,123814,5,44,18,0,"4-year degree"
"7",23,38,123814,5,42,14,0,"no 4-year degree"
"8",23,4,123814,5,0,0,0,"no 4-year degree"
"9",23,2,123814,5,0,0,0,"no 4-year degree"
"10",23,1,123814,5,0,0,0,"no 4-year degree"
"11",23,72,31184,2,39,12,0,"no 4-year degree"
"12",23,72,31184,2,33,6,0,"no 4-year degree"
"13",23,64,0,2,39,12,0,"no 4-year degree"
"14",23,67,0,2,39,12,0,"no 4-year degree"
"15",23,77,19783,1,39,12,0,"no 4-year degree"
"16",23,42,72370,4,40,13,0,"no 4-year degree"
"17",23,31,72370,4,41,14,0,"no 4-year degree"
"18",23,13,72370,4,0,0,0,"no 4-year degree"
"19",23,9,72370,4,0,0,0,"no 4-year degree"
"20",23,66,44000,2,39,12,0,"no 4-year degree"
"21",23,62,44000,2,39,12,0,"no 4-year degree"
"22",23,85,400,1,39,12,0,"no 4-year degree"
"23",23,76,29110,1,39,12,0,"no 4-year degree"
"24",23,31,273821,2,43,16,0,"4-year degree"
"25",23,23,273821,2,43,16,0,"4-year degree"
"26",23,30,113003,5,34,8,0,"no 4-year degree"
"27",23,30,113003,5,34,8,0,"no 4-year degree"
"28",23,6,113003,5,0,0,0,"no 4-year degree"
"29",23,3,113003,5,0,0,0,"no 4-year degree"
"30",23,0,113003,5,0,0,0,"no 4-year degree"
"31",23,63,31182,1,37,11,0,"no 4-year degree"
"32",23,39,78152,4,40,13,0,"no 4-year degree"
"33",23,32,78152,4,43,16,0,"4-year degree"
"34",23,3,78152,4,0,0,0,"no 4-year degree"
"35",23,1,78152,4,0,0,0,"no 4-year degree"
"36",23,46,142458,4,40,13,0,"no 4-year degree"
"37",23,52,142458,4,43,16,0,"4-year degree"
"38",23,21,142458,4,40,13,0,"no 4-year degree"
"39",23,18,142458,4,37,11,0,"no 4-year degree"
"40",23,62,87630,3,43,16,0,"4-year degree"
"41",23,15,87630,3,34,8,0,"no 4-year degree"
"42",23,68,87630,3,45,20,0,"4-year degree"
"43",23,69,90950,1,40,13,0,"no 4-year degree"
"44",23,78,40720,1,39,12,0,"no 4-year degree"
"45",23,80,14544,1,40,13,0,"no 4-year degree"
"46",23,75,63827,1,43,16,0,"4-year degree"
"47",23,66,114809,2,40,13,0,"no 4-year degree"
"48",23,64,114809,2,40,13,0,"no 4-year degree"
"49",23,66,14287,1,43,16,0,"4-year degree"
"50",23,79,32289,1,40,13,0,"no 4-year degree"
"51",23,62,73513,2,45,20,0,"4-year degree"
"52",23,68,73513,2,40,13,0,"no 4-year degree"
"53",23,69,49451,1,40,13,0,"no 4-year degree"
"54",23,79,383749,2,43,16,0,"4-year degree"
"55",23,70,383749,2,43,16,0,"4-year degree"
"56",23,75,18354,1,46,20,0,"4-year degree"
"57",23,47,102979,2,44,18,0,"4-year degree"
