"","state.code","age","income","residents","education","metro.size","employed","raw.income","degree","fouryrdegree"
"1",23,42,44220,1,14,0,1,44220,"no 4-year degree",0
"2",23,62,82752,2,12,0,1,82752,"no 4-year degree",0
"3",23,64,82752,2,16,0,1,82752,"4-year degree",1
"4",23,26,60001,2,13,0,1,60001,"no 4-year degree",0
"5",23,24,60001,2,13,0,1,60001,"no 4-year degree",0
"6",23,36,123814,5,18,0,1,123814,"4-year degree",1
"7",23,38,123814,5,14,0,1,123814,"no 4-year degree",0
"8",23,4,123814,5,0,0,NA,123814,"no 4-year degree",0
"9",23,2,123814,5,0,0,NA,123814,"no 4-year degree",0
"10",23,1,123814,5,0,0,NA,123814,"no 4-year degree",0
"11",23,72,31184,2,12,0,NA,31184,"no 4-year degree",0
"12",23,72,31184,2,6,0,NA,31184,"no 4-year degree",0
"13",23,64,0,2,12,0,NA,0,"no 4-year degree",0
"14",23,67,0,2,12,0,NA,0,"no 4-year degree",0
"15",23,77,19783,1,12,0,NA,19783,"no 4-year degree",0
"16",23,42,72370,4,13,0,1,72370,"no 4-year degree",0
"17",23,31,72370,4,14,0,1,72370,"no 4-year degree",0
"18",23,13,72370,4,0,0,NA,72370,"no 4-year degree",0
"19",23,9,72370,4,0,0,NA,72370,"no 4-year degree",0
"20",23,66,44000,2,12,0,NA,44000,"no 4-year degree",0
"21",23,62,44000,2,12,0,1,44000,"no 4-year degree",0
"22",23,85,400,1,12,0,NA,400,"no 4-year degree",0
"23",23,76,29110,1,12,0,1,29110,"no 4-year degree",0
"24",23,31,273821,2,16,0,1,273821,"4-year degree",1
"25",23,23,273821,2,16,0,1,273821,"4-year degree",1
"26",23,30,113003,5,8,0,NA,113003,"no 4-year degree",0
"27",23,30,113003,5,8,0,1,113003,"no 4-year degree",0
"28",23,6,113003,5,0,0,NA,113003,"no 4-year degree",0
"29",23,3,113003,5,0,0,NA,113003,"no 4-year degree",0
"30",23,0,113003,5,0,0,NA,113003,"no 4-year degree",0
"31",23,63,31182,1,11,0,1,31182,"no 4-year degree",0
"32",23,39,78152,4,13,0,1,78152,"no 4-year degree",0
"33",23,32,78152,4,16,0,1,78152,"4-year degree",1
"34",23,3,78152,4,0,0,NA,78152,"no 4-year degree",0
"35",23,1,78152,4,0,0,NA,78152,"no 4-year degree",0
"36",23,46,142458,4,13,0,1,142458,"no 4-year degree",0
"37",23,52,142458,4,16,0,1,142458,"4-year degree",1
"38",23,21,142458,4,13,0,NA,142458,"no 4-year degree",0
"39",23,18,142458,4,11,0,NA,142458,"no 4-year degree",0
"40",23,62,87630,3,16,0,NA,87630,"4-year degree",1
"41",23,15,87630,3,8,0,NA,87630,"no 4-year degree",0
"42",23,68,87630,3,20,0,1,87630,"4-year degree",1
"43",23,69,90950,1,13,0,1,90950,"no 4-year degree",0
"44",23,78,40720,1,12,0,NA,40720,"no 4-year degree",0
"45",23,80,14544,1,13,0,NA,14544,"no 4-year degree",0
"46",23,75,63827,1,16,0,NA,63827,"4-year degree",1
"47",23,66,114809,2,13,0,1,114809,"no 4-year degree",0
"48",23,64,114809,2,13,0,1,114809,"no 4-year degree",0
"49",23,66,14287,1,16,0,NA,14287,"4-year degree",1
"50",23,79,32289,1,13,0,NA,32289,"no 4-year degree",0
"51",23,62,73513,2,20,0,1,73513,"4-year degree",1
"52",23,68,73513,2,13,0,1,73513,"no 4-year degree",0
"53",23,69,49451,1,13,0,NA,49451,"no 4-year degree",0
"54",23,79,383749,2,16,0,NA,383749,"4-year degree",1
"55",23,70,383749,2,16,0,1,383749,"4-year degree",1
"56",23,75,18354,1,20,0,NA,18354,"4-year degree",1
"57",23,47,102979,2,18,0,1,102979,"4-year degree",1
"58",23,53,102979,2,18,0,1,102979,"4-year degree",1
"59",23,29,125825,2,13,0,1,125825,"no 4-year degree",0
"60",23,32,125825,2,12,0,1,125825,"no 4-year degree",0
"61",23,65,22056,1,18,0,NA,22056,"4-year degree",1
"62",23,80,95664,2,18,0,NA,95664,"4-year degree",1
"63",23,75,95664,2,18,0,NA,95664,"4-year degree",1
"64",23,76,82382,2,16,0,NA,82382,"4-year degree",1
"65",23,75,82382,2,18,0,NA,82382,"4-year degree",1
"66",23,44,46901,3,16,0,1,46901,"4-year degree",1
"67",23,15,46901,3,8,0,NA,46901,"no 4-year degree",0
"68",23,11,46901,3,0,0,NA,46901,"no 4-year degree",0
"69",23,78,18666,1,12,0,NA,18666,"no 4-year degree",0
"70",23,35,116746,2,16,0,1,116746,"4-year degree",1
"71",23,23,116746,2,12,0,1,116746,"no 4-year degree",0
"72",23,76,60625,2,16,0,NA,60625,"4-year degree",1
"73",23,73,60625,2,20,0,1,60625,"4-year degree",1
"74",23,38,129294,4,16,0,1,129294,"4-year degree",1
"75",23,40,129294,4,20,0,1,129294,"4-year degree",1
"76",23,3,129294,4,0,0,NA,129294,"no 4-year degree",0
"77",23,1,129294,4,0,0,NA,129294,"no 4-year degree",0
"78",23,24,18002,1,16,0,1,18002,"4-year degree",1
"79",23,70,177017,1,13,0,1,177017,"no 4-year degree",0
"80",23,48,37201,3,18,0,1,37201,"4-year degree",1
"81",23,12,37201,3,0,0,NA,37201,"no 4-year degree",0
"82",23,7,37201,3,0,0,NA,37201,"no 4-year degree",0
"83",23,54,108317,3,13,0,1,108317,"no 4-year degree",0
"84",23,38,108317,3,16,0,1,108317,"4-year degree",1
"85",23,18,108317,3,11,0,NA,108317,"no 4-year degree",0
"86",23,38,1552,5,13,0,0,1552,"no 4-year degree",0
"87",23,18,1552,5,11,0,1,1552,"no 4-year degree",0
"88",23,15,1552,5,8,0,NA,1552,"no 4-year degree",0
"89",23,4,1552,5,0,0,NA,1552,"no 4-year degree",0
"90",23,2,1552,5,0,0,NA,1552,"no 4-year degree",0
"91",23,51,27906,2,9,0,NA,27906,"no 4-year degree",0
"92",23,44,27906,2,9,0,NA,27906,"no 4-year degree",0
"93",23,78,36484,2,14,0,NA,36484,"no 4-year degree",0
"94",23,33,36484,2,12,0,NA,36484,"no 4-year degree",0
"95",23,62,18683,1,12,0,NA,18683,"no 4-year degree",0
"96",23,68,137744,2,18,0,NA,137744,"4-year degree",1
"97",23,64,137744,2,18,0,1,137744,"4-year degree",1
"98",23,37,30000,1,11,0,1,30000,"no 4-year degree",0
"99",23,85,33192,2,12,0,NA,33192,"no 4-year degree",0
"100",23,85,33192,2,6,0,NA,33192,"no 4-year degree",0
"101",23,68,82791,2,14,0,NA,82791,"no 4-year degree",0
"102",23,67,82791,2,14,0,1,82791,"no 4-year degree",0
"103",23,55,66042,2,12,0,NA,66042,"no 4-year degree",0
"104",23,49,66042,2,10,0,1,66042,"no 4-year degree",0
"105",23,72,33298,1,16,0,NA,33298,"4-year degree",1
"106",23,71,106560,2,12,0,1,106560,"no 4-year degree",0
"107",23,61,106560,2,18,0,1,106560,"4-year degree",1
"108",23,77,19228,1,12,0,NA,19228,"no 4-year degree",0
"109",23,73,128841,2,13,0,NA,128841,"no 4-year degree",0
"110",23,64,128841,2,16,0,NA,128841,"4-year degree",1
"111",23,68,73142,1,16,0,NA,73142,"4-year degree",1
"112",23,80,87406,1,16,0,NA,87406,"4-year degree",1
"113",23,48,106735,4,16,0,1,106735,"4-year degree",1
"114",23,55,106735,4,12,0,1,106735,"no 4-year degree",0
"115",23,15,106735,4,9,0,NA,106735,"no 4-year degree",0
"116",23,11,106735,4,0,0,NA,106735,"no 4-year degree",0
"117",23,63,67497,2,16,0,NA,67497,"4-year degree",1
"118",23,64,67497,2,13,0,NA,67497,"no 4-year degree",0
"119",23,85,20184,1,12,0,NA,20184,"no 4-year degree",0
"120",23,28,8865,5,11,0,1,8865,"no 4-year degree",0
"121",23,11,8865,5,0,0,NA,8865,"no 4-year degree",0
"122",23,6,8865,5,0,0,NA,8865,"no 4-year degree",0
"123",23,2,8865,5,0,0,NA,8865,"no 4-year degree",0
"124",23,30,8865,5,12,0,NA,8865,"no 4-year degree",0
