"age","income","education","employed","raw.income","degree","fouryrdegree"
42,44220,14,1,44220,"no 4-year degree",0
62,82752,12,1,82752,"no 4-year degree",0
64,82752,16,1,82752,"4-year degree",1
26,60001,13,1,60001,"no 4-year degree",0
24,60001,13,1,60001,"no 4-year degree",0
36,123814,18,1,123814,"4-year degree",1
38,123814,14,1,123814,"no 4-year degree",0
4,123814,0,NA,123814,"no 4-year degree",0
2,123814,0,NA,123814,"no 4-year degree",0
1,123814,0,NA,123814,"no 4-year degree",0
72,31184,12,NA,31184,"no 4-year degree",0
72,31184,6,NA,31184,"no 4-year degree",0
64,0,12,NA,0,"no 4-year degree",0
67,0,12,NA,0,"no 4-year degree",0
77,19783,12,NA,19783,"no 4-year degree",0
42,72370,13,1,72370,"no 4-year degree",0
31,72370,14,1,72370,"no 4-year degree",0
13,72370,0,NA,72370,"no 4-year degree",0
9,72370,0,NA,72370,"no 4-year degree",0
66,44000,12,NA,44000,"no 4-year degree",0
62,44000,12,1,44000,"no 4-year degree",0
85,400,12,NA,400,"no 4-year degree",0
76,29110,12,1,29110,"no 4-year degree",0
31,273821,16,1,273821,"4-year degree",1
23,273821,16,1,273821,"4-year degree",1
30,113003,8,NA,113003,"no 4-year degree",0
30,113003,8,1,113003,"no 4-year degree",0
6,113003,0,NA,113003,"no 4-year degree",0
3,113003,0,NA,113003,"no 4-year degree",0
0,113003,0,NA,113003,"no 4-year degree",0
63,31182,11,1,31182,"no 4-year degree",0
39,78152,13,1,78152,"no 4-year degree",0
32,78152,16,1,78152,"4-year degree",1
3,78152,0,NA,78152,"no 4-year degree",0
1,78152,0,NA,78152,"no 4-year degree",0
46,142458,13,1,142458,"no 4-year degree",0
52,142458,16,1,142458,"4-year degree",1
21,142458,13,NA,142458,"no 4-year degree",0
18,142458,11,NA,142458,"no 4-year degree",0
62,87630,16,NA,87630,"4-year degree",1
15,87630,8,NA,87630,"no 4-year degree",0
68,87630,20,1,87630,"4-year degree",1
69,90950,13,1,90950,"no 4-year degree",0
78,40720,12,NA,40720,"no 4-year degree",0
80,14544,13,NA,14544,"no 4-year degree",0
75,63827,16,NA,63827,"4-year degree",1
66,114809,13,1,114809,"no 4-year degree",0
64,114809,13,1,114809,"no 4-year degree",0
66,14287,16,NA,14287,"4-year degree",1
79,32289,13,NA,32289,"no 4-year degree",0
62,73513,20,1,73513,"4-year degree",1
68,73513,13,1,73513,"no 4-year degree",0
69,49451,13,NA,49451,"no 4-year degree",0
79,383749,16,NA,383749,"4-year degree",1
70,383749,16,1,383749,"4-year degree",1
75,18354,20,NA,18354,"4-year degree",1
47,102979,18,1,102979,"4-year degree",1
53,102979,18,1,102979,"4-year degree",1
29,125825,13,1,125825,"no 4-year degree",0
32,125825,12,1,125825,"no 4-year degree",0
65,22056,18,NA,22056,"4-year degree",1
80,95664,18,NA,95664,"4-year degree",1
75,95664,18,NA,95664,"4-year degree",1
76,82382,16,NA,82382,"4-year degree",1
75,82382,18,NA,82382,"4-year degree",1
44,46901,16,1,46901,"4-year degree",1
15,46901,8,NA,46901,"no 4-year degree",0
11,46901,0,NA,46901,"no 4-year degree",0
78,18666,12,NA,18666,"no 4-year degree",0
35,116746,16,1,116746,"4-year degree",1
23,116746,12,1,116746,"no 4-year degree",0
76,60625,16,NA,60625,"4-year degree",1
73,60625,20,1,60625,"4-year degree",1
38,129294,16,1,129294,"4-year degree",1
40,129294,20,1,129294,"4-year degree",1
3,129294,0,NA,129294,"no 4-year degree",0
