"","x","y","pop","msa","logincome.mean","logincome.sd","schools","students","enrollment","income","class.size","mu","score"
"11163",34.5862498654575,31.678750067285,2296.2109375,"minor",10.692368515241,1.08997291073581,1,27,27,4380.55923349961,27,1.64770277758771,1.64770277758771
"5079",35.3362498624575,32.753750062985,3388.46728515625,"minor",10.2278489074138,1.06603360940418,1,64,64,20341.583090949,32,2.17479439575004,2.17479439575004
"9584.1",34.7779165313575,31.903750066385,1299.2060546875,"minor",10.7081703055764,1.0907780253652,2,13,6.5,62830.7750079129,6.5,2.52684684972485,2.52684684972485
"8838",34.9695831972575,32.095416732285,4694.86181640625,"minor",10.6419461957257,1.08739986490331,2,75,37.5,16092.6642817244,37.5,2.07893332305743,2.07893332305743
"9709",34.7362498648575,31.878750066485,5238.404296875,"minor",10.7477055468724,1.09278978088562,3,68,22.6666666666667,160737.373380139,22.6666666666667,2.91050084126811,2.91050084126811
"9118",34.7445831981575,32.012083399285,12432.7568359375,"telaviv",10.9661923845512,1.10384139282131,3,169,56.3333333333333,30157.1431468482,28.1666666666667,2.66720905158891,2.66720905158891
"9160",34.8195831978575,32.003750065985,3597.44897460938,"telaviv",10.7896878811888,1.09492201047425,1,47,47,17331.9663598716,23.5,2.24247777956001,2.24247777956001
"10701",35.2029165296575,31.745416733685,13476.939453125,"jerusalem",9.93678973832323,1.0507557987956,1,248,248,39808.5851061388,35.4285714285714,2.40717628962686,2.40717628962686
"9166",34.8695831976575,32.003750065985,1152.73486328125,"telaviv",10.6917409851967,1.08994092526953,1,24,24,127346.127424798,24,2.62129922189323,2.62129922189323
"10835",35.1112498633575,31.728750067085,1718.14831542969,"minor",10.0146813875338,1.05486604665836,1,28,28,8820.16364594728,28,1.87398423485747,1.87398423485747
"8905",34.8362498644575,32.070416732385,16653.083984375,"telaviv",10.8664818888214,1.09881157462766,3,219,73,64408.7100429411,36.5,2.7585901192172,2.7585901192172
"9137",34.9029165308575,32.012083399285,1450.27331542969,"telaviv",10.6424429090444,1.08742524182607,1,27,27,87959.9700787791,27,2.52082697338348,2.52082697338348
"10620",35.1612498631575,31.753750066985,10543.6474609375,"jerusalem",9.98616393186311,1.05336307615514,3,183,61,40578.782734688,30.5,2.44974291104496,2.44974291104496
"5243",35.1779165297575,32.737083396385,761.315856933594,"minor",10.4499027981221,1.07754364686655,1,6,6,119738.896450665,6,2.65523742407309,2.65523742407309
"10476",35.2195831962575,31.770416733585,16383.8623046875,"jerusalem",9.94253751353409,1.05105965120571,3,256,85.3333333333333,20715.2289981148,28.4444444444444,2.44278951617736,2.44278951617736
"10251.3",35.2029165296575,31.795416733485,14539.9814453125,"jerusalem",9.98165607319558,1.05312529977289,6,261,43.5,90275.8365715607,21.75,2.92442664663467,2.92442664663467
"2759",35.2945831959575,32.953750062185,260.282806396484,"minor",10.3226638098332,1.07096341932721,1,4,4,97101.3819962626,4,2.60612677288185,2.60612677288185
"9528",35.0029165304575,31.920416732985,7000.5234375,"minor",10.3569495761298,1.07274049756944,3,118,39.3333333333333,73039.391814522,39.3333333333333,2.53001700790307,2.53001700790307
"7373",34.9279165307575,32.520416730585,1327.638671875,"minor",10.8487147285517,1.09791290529662,1,22,22,195728.636588058,22,2.74295009092186,2.74295009092186
"7778",35.0029165304575,32.453750064185,632.407043457031,"minor",10.6803499244514,1.08936015493558,1,14,14,92541.7594600033,14,2.59767926729841,2.59767926729841
"8874.2",34.8195831978575,32.078750065685,16704.423828125,"telaviv",10.917199084634,1.10137283447291,4,243,60.75,17656.768209124,30.375,2.55705592772635,2.55705592772635
"10472.1",35.1862498630575,31.770416733585,15912.2841796875,"jerusalem",9.97591457625495,1.05282237481791,4,270,67.5,7384.91133039946,33.75,1.97693076800817,1.97693076800817
"9167",34.8779165309575,32.003750065985,893.858703613281,"telaviv",10.6760812968722,1.08914244027493,1,18,18,134086.704521092,18,2.66849701612269,2.66849701612269
"10249.1",35.1862498630575,31.795416733485,11536.091796875,"jerusalem",9.9988785348543,1.05403344532927,3,179,59.6666666666667,31846.0775097568,29.8333333333333,2.4249941612386,2.4249941612386
"7857.1",34.9612498639575,32.437083397585,270.672637939453,"minor",10.7560587323319,1.09321436000712,2,5,2.5,8777.9553305022,2.5,1.90016160773151,1.90016160773151
"14891",34.8029165312575,31.270416735585,3007.44287109375,"minor",9.86441014705504,1.04692195119551,1,33,33,336652.474990183,33,2.82861778907368,2.82861778907368
"14895.1",34.8362498644575,31.270416735585,1576.88623046875,"minor",9.834665495446,1.04534234134331,3,26,8.66666666666667,4799.97925161912,8.66666666666667,1.7549905109056,1.7549905109056
"8483.1",34.9362498640575,32.220416731785,3020.77709960938,"minor",10.7443139554527,1.09261734459827,2,49,24.5,40541.9990787788,24.5,2.43792824522014,2.43792824522014
"5036",34.9779165305575,32.753750062985,1842.712890625,"haifa",10.8138623558079,1.09614791965155,1,37,37,38487.3096051291,37,2.32291607185708,2.32291607185708
"10166",35.0945831967575,31.803750066785,8208.7197265625,"minor",10.1077371623822,1.05975558829919,2,127,63.5,15842.2007382286,31.75,2.29028979903051,2.29028979903051
"16370",34.9779165305575,31.178750069285,98.9225921630859,"minor",9.64176216611464,1.03503956800988,1,6,6,10085.9692728545,6,2.05665621188922,2.05665621188922
"2315",35.7112498609575,32.995416728685,221.181533813477,"minor",9.85982477361613,1.0466785972577,1,1,1,21305.6500192401,1,2.13476177574086,2.13476177574086
"8694.1",34.8695831976575,32.137083398785,2732.2783203125,"telaviv",10.8562957179362,1.098296444395,2,41,20.5,26520.0305110428,20.5,2.34589637847199,2.34589637847199
"8781",34.9362498640575,32.112083398885,2765.09252929688,"telaviv",10.7142408667317,1.09108716765189,1,51,51,137731.552043701,25.5,2.71118131186272,2.71118131186272
"9624",34.7529165314575,31.895416733085,1298.5849609375,"minor",10.7429049645956,1.09254570026946,2,19,9.5,8296.67614039631,9.5,1.94698545766757,1.94698545766757
"9903",34.6862498650575,31.837083399985,7509.640625,"minor",10.7755630947404,1.09420509425998,2,97,48.5,30873.9140472549,24.25,2.58425086497229,2.58425086497229
"9126",34.8112498645575,32.012083399285,12668.2265625,"telaviv",10.8206820047081,1.09649350227127,5,189,37.8,2678.81771620739,37.8,1.58719078543533,1.58719078543533
"8936.2",34.8445831977575,32.062083399085,9659.3251953125,"telaviv",10.8348147057339,1.09720932398385,3,132,44,49486.523980547,22,2.82527760461246,2.82527760461246
"8270.1",34.8945831975575,32.303750064785,799.519226074219,"minor",10.8537642422255,1.09816838631046,2,17,8.5,77509.6804212971,8.5,2.56448610991083,2.56448610991083
"10165",35.0862498634575,31.803750066785,6968.4306640625,"minor",10.1174395364547,1.06026409374975,2,85,42.5,25980.2845163271,21.25,2.55594839757976,2.55594839757976
"9950",34.7029165316575,31.828750066685,2979.5751953125,"minor",10.7282669633432,1.09180110944883,1,25,25,40875.5901770626,25,2.43230952453169,2.43230952453169
"4962",35.1445831965575,32.762083396285,1292.88928222656,"haifa",10.5090832284836,1.08059053960136,1,29,29,45851.6558326254,29,2.43215068959592,2.43215068959592
"10128",34.7779165313575,31.803750066785,2800.22387695312,"minor",10.5521130700096,1.08280053924019,3,50,16.6666666666667,63405.2245105261,16.6666666666667,2.6104114660875,2.6104114660875
"2943",35.1612498631575,32.937083395585,1285.73193359375,"minor",10.522844421323,1.08129780158038,1,26,26,12799.5745421095,26,1.99620905369077,1.99620905369077
"9267",34.8779165309575,31.978750066085,390.135620117188,"minor",10.6384392310594,1.08722067835883,1,8,8,14870.1826308475,8,2.11942957420511,2.11942957420511
"8999.3",34.8362498644575,32.045416732485,10120.0322265625,"telaviv",10.8244862472069,1.09668623321992,4,146,36.5,22168.414152503,36.5,2.3501354067463,2.3501354067463
"8811.1",34.9612498639575,32.103750065585,4862.5029296875,"minor",10.6648221124933,1.08856797432291,2,69,34.5,63497.8540079571,34.5,2.5069658925999,2.5069658925999
"5353",35.3279165291575,32.728750063085,3173.6171875,"minor",10.2340317411547,1.06635577454528,1,52,52,12939.0882303004,26,2.10045320470915,2.10045320470915
